# molecules 	Acetylene	Ethylene	Ethane
ScaledConcentrations_Means	-5.83257787825949e-11	4.28816750700973e-10	1.4061506068258317e-08
ScaledConcentrations_StdDevs	3.0179021481712073e-10	2.1602820673689575e-09	4.177113520508483e-08
ScaledConcentrations_StdErrs	3.686954285637763e-11	2.639204598233559e-10	5.103156378137313e-09
ScaledConcentrations_absolute_uncertainties_Means	2.5967993745338446e-09	6.8310566457931595e-09	3.81735975189941e-09
ScaledConcentrations_absolute_uncertainties_StdDevs	6.416613972015812e-09	1.6718410008560224e-08	9.265277845914716e-09
ScaledConcentrations_relative_uncertainties_Means	-44.52232664073334	15.930013542210398	0.2714758812725268
ScaledConcentrations_relative_uncertainties_StdDevs	-110.01334411552864	38.98730630562163	0.6589107739198472
ScaledConcentrations_absolute_uncertainties_Total	2.5970610995449846e-09	6.836153078095038e-09	6.372945982443682e-09
