Time,m12.0,m13.0,m14.0,m15.0,m16.0,m17.0,m21.0,m22.0,m24.0,m25.0,m26.0,m27.0,m28.0,m29.0,m30.0
747.187,1.825311074245642e-10,3.745713083083418e-10,1.292283335214331e-09,1.874709705936449e-09,3.9797624498701006e-11,1.3253539406787509e-11,-9.60833318822025e-14,-2.8332355135531734e-14,2.1098603739240905e-10,1.0076861585214003e-09,5.836237702713913e-09,8.065260595252562e-09,2.4500259716016152e-08,4.9243842318341195e-09,4.746921027695772e-09
751.547,6.86331708184635e-11,1.3957316151749941e-10,4.832803303436231e-10,7.067123905885531e-10,1.7007460611790583e-11,1.1084888435833703e-11,-3.564891906433887e-14,1.3410427240672219e-14,7.628624781871482e-11,3.6768773150412545e-10,2.1262405574200525e-09,2.93526614621937e-09,8.730396021044808e-09,1.784388420085636e-09,1.72692216552716e-09
756.016,2.5035285797210318e-11,5.087506105688594e-11,1.7427725035114726e-10,2.547151423569597e-10,8.617542627707395e-12,8.417021190606066e-12,4.479635407397143e-14,-2.4803220823718466e-14,2.7086463505678237e-11,1.3168934381141866e-10,7.632434834938452e-10,1.0452718359603483e-09,3.1305357336991807e-09,6.4439271304344e-10,6.209233318043332e-10
760.625,8.937467031724538e-12,1.787702010298854e-11,6.427407387199737e-11,9.221798032979174e-11,5.127940482117909e-12,6.950160565577145e-12,-5.4744423752282417e-14,-4.296090798612081e-14,9.186685949449637e-12,4.6791006627331515e-11,2.742465012325138e-10,3.742777039433798e-10,1.1306798231205294e-09,2.3039714048638453e-10,2.219245346173766e-10
765.266,2.8696634104141644e-12,6.178992750626245e-12,2.367087533875054e-11,3.342083800649241e-11,3.4384105281841275e-12,5.283530025165098e-12,5.571798677242088e-14,-6.110580408521192e-14,3.756909937634288e-12,1.64926809880717e-11,9.724953992315398e-11,1.332836126674523e-10,4.1082491294575843e-10,8.210159866878973e-11,7.78257457814761e-11
770.078,1.941940715791126e-12,2.6910380814671484e-12,8.267558953923197e-12,1.21238009757412e-11,2.049266348410508e-12,5.6181289994243354e-12,-5.380256495245147e-14,3.0817652060268526e-14,1.3971421787772632e-12,6.624417041482987e-12,3.6052690575892794e-11,4.9689739101461505e-11,1.569753486792213e-10,2.9206221115187865e-11,2.8027001571531432e-11
775.078,8.343069931986094e-13,9.831633213267711e-13,3.364113001276328e-12,4.6668797052183305e-12,1.9605462946141503e-12,3.454079720807597e-12,-3.330438511545193e-14,-1.4718374429729562e-13,4.973834933481019e-13,2.4962209207548955e-12,1.3555964321465125e-11,1.7596104889085368e-11,6.41316617854795e-11,1.0911024155917444e-11,1.032830642404113e-11
780.25,3.667546705489097e-13,5.453616694375668e-13,2.06054850785841e-12,2.9200643429894727e-12,1.4722142709671927e-12,2.8912671470064386e-12,4.721093210794027e-14,-8.511638868955951e-14,2.6763310914017726e-13,1.0280868534737588e-12,5.249350683885138e-12,7.802689659803497e-12,3.3293352062593033e-11,4.205992421248118e-12,5.51965616347716e-12
785.375,4.49180104891581e-13,3.975400402936809e-13,1.0570164063953701e-12,1.7232200407035312e-12,8.837762158259199e-13,2.9281166364242794e-12,3.7721566440864596e-14,-7.306781995606282e-14,1.2788045657528687e-13,5.599358297274658e-13,3.8127062730967754e-12,4.43921459211796e-12,1.945357299650773e-11,2.790915537995936e-12,2.680993637299601e-12
790.609,2.7165712408173383e-13,1.3976474137873563e-13,9.53409183164633e-13,1.2664428547201899e-12,4.95584063511892e-13,3.2657498515682757e-12,5.824306109423655e-14,-4.0975681663160786e-14,9.813306466804065e-14,3.618241305493004e-13,2.2261332299618863e-12,2.625878298602624e-12,1.4617201556138836e-11,1.8759433610316604e-12,1.712359556906752e-12
796.031,2.7422311530240855e-13,1.3206935148251151e-13,4.496723921143683e-13,7.397814289651899e-13,7.07816037175115e-13,1.9047348138362833e-12,-8.12167126905218e-14,-7.880839587330299e-14,4.8394746188657764e-14,1.8378025723175857e-13,1.5596832796605185e-12,1.8527813587019458e-12,1.0786707488565299e-11,1.2011517783988139e-12,1.1437745389682677e-12
801.437,2.667815344353797e-13,2.4367160818737436e-14,6.45946628112575e-13,7.431101512758624e-13,5.200119150104901e-13,1.1436047337958586e-12,-5.067808065075798e-14,-7.664750561510137e-14,8.865565550264824e-14,2.0573061150054663e-13,1.2032228533733191e-12,1.7396640482808717e-12,7.955713219051635e-12,8.963448260356347e-13,8.751853455017524e-13
806.844,2.893404268238326e-13,1.0666539520293422e-13,6.422201749202516e-13,5.564394893324297e-13,5.32210048835105e-13,7.824818438997037e-13,-4.0139348975026586e-14,-1.0448621563617121e-13,4.8916613079553333e-14,7.768132654518963e-14,8.467630818352338e-13,9.265480110173216e-13,7.124750212159302e-12,7.615388342806011e-13,8.665964130057389e-13
812.25,-1.810115404319699e-14,-2.103679546084018e-14,4.3849441091845834e-13,3.897682116431027e-13,5.444059266704801e-13,6.213517638592821e-13,1.903992830647372e-13,-8.232532537796928e-14,1.9177522393543904e-14,5.963168081397745e-14,7.603026555480339e-13,7.134307005962467e-13,8.293755942645676e-12,6.167318819174213e-13,5.380072195392243e-13
817.656,2.6445726508977477e-13,1.2610138753845828e-15,1.3476864691667e-13,2.530969339537754e-13,2.5660180450585047e-13,1.46022168381887e-12,7.093791510450186e-14,-3.0164435119767675e-14,3.943843170753406e-14,6.158203508276559e-14,5.138422292608346e-13,6.203133901751713e-13,4.462761673132067e-12,2.9192492955424183e-13,4.794180260727091e-13
823.062,-3.298431577725545e-14,-2.6441176788389837e-14,3.310428829148767e-13,2.464256562644477e-13,1.6879768234122725e-13,9.990916037784468e-13,5.1476547144264884e-14,-7.800354486156605e-14,7.969934102152494e-14,9.35323893515538e-14,5.973818029736342e-13,5.471960797540971e-13,2.6317674036184506e-12,3.171179771910615e-13,4.908288326061939e-13
828.484,9.958167544341972e-14,3.5863433315386355e-14,3.2730609186461356e-13,2.1976423050944604e-13,-2.1897034399554645e-13,3.807656604644783e-14,-8.798322664049266e-14,-8.583625907170858e-14,9.96102254214214e-15,-4.511483965987961e-15,3.009318526722666e-13,4.5409913985341827e-13,3.801273336044897e-12,1.9232639455821724e-13,3.4224381466770974e-13
833.891,1.1214056783187242e-13,8.816166769958347e-14,1.2357963867229018e-13,2.130935685660138e-13,9.32277898290667e-14,-1.2304632384968446e-13,-3.744449496476144e-14,-3.367496909277835e-14,-9.778019880953254e-15,2.743923107865476e-14,2.4447208113418124e-13,4.309831025898678e-13,2.9703103291525124e-12,7.520402803183608e-15,1.1365488217169672e-13
839.297,1.4469898696484343e-13,-4.954052296419109e-14,3.198538746704969e-13,4.6422290876686794e-14,1.0542366766444184e-13,2.1582359610987928e-13,-5.69058629249976e-14,-7.151407883457617e-14,4.048288943303738e-14,1.0938958534744296e-13,1.4801165484698116e-13,2.3786579216879324e-13,1.393160596389515e-13,2.827134504400032e-13,1.650656887051817e-13
844.703,8.72574060978138e-14,6.27572863720343e-14,7.161281106687068e-13,-2.489868126407244e-16,-1.8238045450018134e-13,-9.453064839305389e-13,-5.636723088523345e-14,-4.935318857637464e-14,3.074379874702827e-14,-7.86600603837691e-14,-8.844877144021793e-14,2.7474848174771913e-13,-1.6916782098746645e-12,2.7906498076824088e-14,5.647649523866618e-14
850.109,5.981582523078547e-14,1.0505509570825938e-13,-3.8759765333308787e-13,7.307973549803125e-14,2.298154233351905e-13,2.9356343602904243e-13,1.0417140115453002e-13,-1.7192298318172547e-14,-2.8995291938981235e-14,1.3290293885019266e-14,-3.490919772741804e-14,8.163117132664377e-14,4.773275206117056e-13,-6.690045428635654e-14,4.788730177215143e-14
855.531,-8.761818354853978e-14,1.7359705812035604e-14,2.0866555561664887e-13,-9.35816902569686e-14,-3.5795260300158317e-13,4.3254839829704484e-13,-1.5288372630228014e-14,-6.502501252831491e-14,-8.733610418364213e-15,4.524642056747755e-14,-1.3591480287868175e-15,8.534231425965292e-15,-3.5316654696184137e-13,3.830796308079964e-14,6.930228383366716e-14
860.937,5.494023558443055e-14,-1.2034248485173895e-13,-9.506020838514271e-14,1.2974703205370333e-13,-4.575672516620971e-14,-8.285816817433781e-13,-6.474974059046385e-14,2.7135877729886525e-14,3.1527298895626665e-14,-6.280322516373404e-14,1.2180425684014044e-14,-6.458307899510896e-14,-1.8416081647546431e-13,6.350101071761931e-14,-6.928690963284804e-14
866.328,-3.250844411482092e-14,-8.051051235092485e-15,3.0122436547100365e-13,-1.1693348182405585e-13,1.66405312830554e-13,1.1018038605205554e-13,-3.421260309021025e-14,5.929077217716123e-14,1.1787484265904404e-14,-8.582825327617205e-16,2.5710178160097318e-14,-3.771948677905603e-14,-1.562402530782124e-14,-4.132035076774909e-14,-5.78800176568925e-14
871.734,1.0004997501815006e-13,-6.575324189886738e-14,-3.0250139853078625e-13,3.6395240486616587e-14,-3.2139880933406914e-13,-9.509496939883578e-13,-2.3673971050447554e-14,-6.854833756463721e-14,-7.951606420104866e-15,-4.890792826397357e-14,-1.6075024812710218e-13,-8.08367972001306e-14,-1.8466182948214373e-12,-1.0612730313092843e-13,-1.0646921112340748e-13
877.156,-4.738403376117519e-14,-3.344863179509167e-14,-6.238189581051061e-15,1.6973381473161667e-13,-3.0916683567084616e-13,-2.119647317203652e-13,-1.3133744835205131e-14,-2.638105177477935e-14,1.2310075100512156e-14,1.3048198418484792e-14,-1.0720019842847064e-13,-1.2393373710080942e-13,-1.6771123623950394e-12,-2.309188857637743e-13,-3.5054229061891757e-14
882.562,6.517438537179628e-14,1.8884917754113386e-13,-9.963953582844318e-15,3.062537042288857e-15,-1.9697095783547265e-13,2.6905188239206624e-14,-6.259511279544097e-14,-8.422016151657789e-14,2.257098441450296e-14,-2.5001447312726897e-14,-9.366062471567058e-14,-3.4705104752188363e-13,-4.508106631908652e-12,-3.3572583812695347e-13,-3.364342252840675e-14
887.969,-2.2667222397514862e-15,4.114741192533182e-14,4.863095932248338e-13,4.6391875098856605e-14,1.1522717598914372e-13,-6.342177016569239e-13,1.7943618880290732e-14,-1.1205887153764732e-13,1.2831941991407725e-14,-1.3050732268084495e-14,-1.1012039625375572e-13,-1.1016708478543401e-13,-1.3390696388009985e-12,-1.3053182988198735e-13,-3.2232355024420146e-14
893.375,-9.708303106780313e-15,-5.6554778738442906e-14,-1.7416170776961006e-14,1.6972059740952937e-13,-5.725769461754826e-13,-1.5953477816973518e-12,-7.151774907994574e-14,-3.9897981279445396e-14,1.309285130539837e-14,-6.110037799929634e-14,-2.965808225409552e-13,-1.732843952065081e-13,-3.1700639083145628e-12,-3.853387822451665e-13,-1.0082154849093504e-13
898.781,2.850116026190371e-15,1.5743030597782652e-14,-1.211419347787494e-13,-2.2695068027979807e-13,1.3961893165989077e-13,-3.56477861737777e-13,-3.097911704018176e-14,-5.77370910212441e-14,-6.646239380611305e-15,-6.915002373050796e-14,-2.1304124882815526e-13,-1.46401705627584e-13,-5.0010581778282305e-12,-3.1014573460834683e-13,-1.3941074195744987e-13
904.187,-2.1459146484083857e-13,-1.019591600659924e-13,7.51323012194573e-14,-1.536219579691253e-13,-6.481851905047339e-13,-7.176079417781824e-13,-5.0440485000417925e-14,-6.557620076304184e-14,3.614669933379499e-15,-4.71996694617199e-14,-2.295016751153545e-13,-1.4951901604865874e-13,-1.832052447341812e-12,-2.1495268697152685e-13,-1.4799993542396542e-13
