Time	Acetylene Concentration(bar)	Ethylene Concentration(bar)	Ethane Concentration(bar)
747.187	0.001330496731098095	0.003315083585703354	0.0024246051421607964
751.547	0.009243408432216257	0.02403582773295124	0.012846606901418624
756.016	0.010014408040291911	0.02601111333006309	0.014003921676989477
760.625	0.003558116791355793	0.009220309438358961	0.00504998292602894
765.266	0.0012983923563940096	0.0033624410213791227	0.001855779511301496
770.078	0.000472891762748972	0.0012244636285780911	0.0006773863944572393
775.078	0.00016952328592729373	0.00043977552298105413	0.0002437600945085593
780.25	5.534120825195496e-05	0.00014028810909669183	7.319647538339338e-05
785.375	1.9984288530075903e-05	4.8438276352750714e-05	2.258156503871673e-05
790.609	1.1748077379633491e-05	2.414467019767218e-05	1.1964995410111873e-05
796.031	9.344124200471894e-06	1.4944377605127584e-05	4.533080942047906e-06
801.437	9.265237659484615e-06	1.502561326373482e-05	3.7683892427072504e-06
806.844	9.249701044369661e-06	1.504699975302966e-05	2.765271403349025e-06
812.25	9.528798676821155e-06	1.615605146381539e-05	2.4384128801962537e-06
817.656	9.07123686608963e-06	1.4328926374128417e-05	2.5018572782935384e-06
823.062	9.3021454949159e-06	1.5641945827588442e-05	2.10057311323789e-06
828.484	8.968819173781386e-06	1.3879617710089915e-05	2.1769875967907764e-06
833.891	9.176479307366398e-06	1.490096266150521e-05	2.486647795594176e-06
839.297	8.812095358626157e-06	1.345313520622578e-05	1.964657946110629e-06
844.703	9.307370716052842e-06	1.5942736870990336e-05	1.7323577517430743e-06
850.109	8.949921718099237e-06	1.4079379951953528e-05	1.7455877433780032e-06
855.531	8.821004666232389e-06	1.3560996801880747e-05	1.9672699182566994e-06
860.937	8.787820092107334e-06	1.3345377351448093e-05	1.7848187106880793e-06
866.328	8.887940398039575e-06	1.3841171883201201e-05	1.642159400749004e-06
871.734	8.792258923951744e-06	1.3540772766279124e-05	1.7104491017402753e-06
877.156	8.871271477506743e-06	1.3974316763113852e-05	1.6330383990642148e-06
882.562	9.312374237418908e-06	1.631445478106097e-05	1.604068723051115e-06
887.969	9.135082279345183e-06	1.5221611601182122e-05	1.6586745053486905e-06
893.375	8.933795148544748e-06	1.44273311191898e-05	1.5551030717962213e-06
898.781	9.311668364752711e-06	1.6351264337712936e-05	1.5557962191367574e-06
904.187	9.53557399666884e-06	1.7059950512223913e-05	1.5989861296707813e-06
909.594	0.010367839234399424	0.027288028239288446	0.01845592575428605
915.0	0.061751791801662896	0.16064516566808415	0.08576203888286851
920.406	0.030837793636857503	0.08031978119966135	0.04391433360982781
925.297	0.03562312817088666	0.09290942253036824	0.05091415550425711
929.594	0.012882336835064572	0.03283625499531982	0.01857813320567785
933.875	0.040739800071333716	0.10643301635918968	0.063928276642336
938.297	0.03425695740956725	0.08883100047729209	0.04782055631857908
942.734	0.02196364335808016	0.057250503591404024	0.032717472551344697
947.094	0.028029523242859893	0.07286201205757832	0.039876452534194196
951.594	0.012002490460101642	0.031163011653394773	0.016886533378224204
956.125	0.004430707057037461	0.011499166926273754	0.00619962503191182
960.844	0.0016378842307318983	0.004246700182295739	0.0023395912024233296
965.719	0.000571909681995837	0.0014815622034749024	0.0008300539272855808
970.687	0.0001999268327408381	0.0005174907480298625	0.0002834879385057978
975.797	6.927574715439034e-05	0.00017777272427553438	9.42714855059322e-05
981.062	2.3988323070453573e-05	5.9656578455945246e-05	2.8570684345034165e-05
986.391	1.1820440358834797e-05	2.4292173672503035e-05	1.3539073907840479e-05
991.734	9.818860061944455e-06	1.7598375656724487e-05	4.70474715266434e-06
997.156	9.055808510892485e-06	1.4421729496921315e-05	2.9650497541373687e-06
1002.56	8.88951916952833e-06	1.3864504849316047e-05	2.6770764028325325e-06
1007.97	8.827170293205834e-06	1.3601314765181273e-05	2.2707031037168335e-06
1013.37	8.805594309518607e-06	1.3486367473536622e-05	2.0746442965151296e-06
1018.78	8.842714617905147e-06	1.3807974134446829e-05	2.592095363712919e-06
1024.2	8.755801289543235e-06	1.3381263211681347e-05	2.049008507655735e-06
1029.61	8.819793461017757e-06	1.374642703620463e-05	2.676950075424238e-06
1035.02	8.763684295362081e-06	1.3543564898151201e-05	2.9272304325012952e-06
1040.42	9.009083951674305e-06	1.4875445863908523e-05	2.100656007089602e-06
1045.83	9.157493402918607e-06	1.538167939354554e-05	1.7295095058461308e-06
1051.23	8.758578527623046e-06	1.3767732542359155e-05	1.7777573191897722e-06
1056.66	8.72286242315791e-06	1.3641150941652857e-05	1.6361462398692394e-06
1062.06	8.621810360143691e-06	1.3128113625612581e-05	1.8551657561381872e-06
1067.47	8.583619136108852e-06	1.3055375643946514e-05	1.9269526566860693e-06
1072.87	8.662273563498055e-06	1.3514966893908635e-05	1.6527259524030873e-06
1078.28	8.744758949922561e-06	1.3768851557204685e-05	1.5558793388845783e-06
1083.7	8.673387436796327e-06	1.3641789671698556e-05	1.4970159013373836e-06
1089.11	8.750678171615328e-06	1.3880167724800632e-05	1.499490502082675e-06
