# molecules 	ethyne	ethene	ethane
ScaledConcentrations_Means	-4.566198045319777e-12	1.6788037629282727e-10	1.3916148267292726e-08
ScaledConcentrations_StdDevs	3.927731417746866e-11	9.57192565773441e-10	4.124540817166053e-08
ScaledConcentrations_StdErrs	4.798487648869376e-12	1.1693968390252743e-10	5.038928598580778e-09
ScaledConcentrations_absolute_uncertainties_Means	1.1935552267329855e-09	3.7712860879180375e-09	3.9809713555829565e-09
ScaledConcentrations_absolute_uncertainties_StdDevs	2.938819407043954e-09	9.269655900622909e-09	9.773891526216258e-09
ScaledConcentrations_relative_uncertainties_Means	-261.38928160515195	22.46412696466637	0.28606847808164537
ScaledConcentrations_relative_uncertainties_StdDevs	-643.6031415799322	55.21583942875018	0.7023417211778306
ScaledConcentrations_absolute_uncertainties_Total	1.1935648724494805e-09	3.773098679678992e-09	6.421754772300734e-09
