Time	ethyne Concentration(bar)	ethene Concentration(bar)	ethane Concentration(bar)
747.187	0.0006115721473917128	0.0014688904557127744	0.0014951660324746096
751.547	0.004350850193019977	0.013463141904502813	0.013934841230060654
756.016	0.0047696340197075126	0.014707166478766322	0.015119533218089745
760.625	0.0017246789644982262	0.005301162817134427	0.005421097331204299
765.266	0.0006256827138393665	0.0019283665115208638	0.0019902097205199082
770.078	0.00022546424794322138	0.0006977031948188007	0.0007286171422455626
775.078	8.014716022600933e-05	0.0002491522385654881	0.00025655660905822254
780.25	2.9918114240641812e-05	9.044720393510497e-05	9.318036557157964e-05
785.375	8.38736512288223e-06	2.6553876109161206e-05	2.915968862290321e-05
790.609	2.7896069654861348e-06	7.743846421829033e-06	5.01989685912559e-06
796.031	2.0198472809621364e-06	5.428427113867991e-06	4.499949674728413e-06
801.437	1.0960882824279647e-06	3.3383341980849867e-06	3.563847780349574e-06
806.844	1.0436953253168479e-06	2.573274118135495e-06	2.11361420728118e-06
812.25	9.98537719320018e-07	2.6816116952142943e-06	2.412513289720969e-06
817.656	8.48415323058215e-07	2.3616166360654902e-06	2.900076713406635e-06
823.062	8.451807702821673e-07	1.9916839512025267e-06	2.201843349256189e-06
828.484	7.879738147756128e-07	1.9385872658864524e-06	2.112330773961417e-06
833.891	7.885655980992851e-07	2.8575451526197703e-06	3.808556663858748e-06
839.297	8.42601282930607e-07	2.852780406953107e-06	3.696321316656696e-06
844.703	8.160040848377702e-07	2.1945707988506607e-06	2.5317002111132723e-06
850.109	7.644517937090918e-07	2.270200178635614e-06	2.8021720679848702e-06
855.531	7.34452748965707e-07	1.8081127963400328e-06	1.8669824464312746e-06
860.937	7.463387474086609e-07	1.980336934850367e-06	2.1973437410461373e-06
866.328	7.575021572830201e-07	1.7379515870553794e-06	1.7622381568409129e-06
871.734	7.419477542702402e-07	1.7035808698377063e-06	1.7208391519182283e-06
877.156	7.348080689819561e-07	1.7567956541297684e-06	1.6534016974517528e-06
882.562	8.422084135852096e-07	2.669501340720204e-06	2.9844125399275883e-06
887.969	8.11630089687599e-07	2.6342474150080916e-06	3.297215255809732e-06
893.375	7.429865402633566e-07	2.1139957694015116e-06	2.5648458274905425e-06
898.781	7.007186194140964e-07	1.9683088465715465e-06	2.3550874822051855e-06
904.187	7.493035873534966e-07	2.0476008583254182e-06	2.2203428994331333e-06
909.594	0.002903393490018808	0.012237420708379595	0.015380775466650298
915.0	0.029217923559229614	0.09086475733924419	0.094037639530438
920.406	0.014147990717246362	0.04447740990466992	0.04657324946319155
925.297	0.015905302770312307	0.05008869220607359	0.052757228746779634
929.594	0.00682430164734932	0.019461779413798785	0.018901282172516718
933.875	0.016543131904653622	0.056461595596670765	0.06381043083958828
938.297	0.016418612380846714	0.05014308609196529	0.05144285114930705
942.734	0.009505233886451659	0.030927206509068328	0.03383386977064536
947.094	0.01312651128708217	0.04104283251859217	0.04280847938991359
951.594	0.005772777602197818	0.017802402023449647	0.018181393351566745
956.125	0.0021238596934095235	0.006538846314302561	0.0067195813181056335
960.844	0.0007829257657114528	0.0024286372451259126	0.0025193703188440045
965.719	0.0002738034754967971	0.0008487119804279847	0.00087652331355574
970.687	9.574265179088952e-05	0.00029503584907846414	0.0003062953104139615
975.797	3.412080077099234e-05	0.00010559388091807804	0.00011254516247546306
981.062	1.1780308454166615e-05	3.525663116805882e-05	3.2326115683051885e-05
986.391	3.611258820670321e-06	1.073181472221856e-05	9.043389588399789e-06
991.734	1.704595954772707e-06	6.165370605394202e-06	8.581990694489994e-06
997.156	1.131484601979905e-06	3.1249980516037303e-06	3.101345340599134e-06
1002.56	8.8006109957821e-07	2.1987454616356125e-06	2.19100570550322e-06
1007.97	9.392894091060588e-07	2.3290088948376228e-06	1.9644005410697467e-06
1013.37	8.269910640031168e-07	2.024093488005024e-06	1.8984553971270892e-06
1018.78	7.882076091287924e-07	2.240410597852543e-06	2.5775389578179895e-06
1024.2	8.043638634658571e-07	1.9474868617399846e-06	1.9670957159195305e-06
1029.61	7.646968691632876e-07	1.8485064270618515e-06	1.8579778818033372e-06
1035.02	7.712520925378308e-07	1.8531745877611357e-06	1.7667151027045807e-06
1040.42	7.606831584361433e-07	1.9685808886271887e-06	2.1838916644594097e-06
1045.83	7.596453877132595e-07	1.939351824963441e-06	2.099067161191672e-06
1051.23	7.540476368640228e-07	2.398374852538053e-06	3.0398695689277434e-06
1056.66	7.455599058300085e-07	2.6261911691773378e-06	3.535717108240346e-06
1062.06	7.620123355797548e-07	2.069662887966936e-06	2.3976997749415662e-06
1067.47	7.242473120245042e-07	1.8109551501513913e-06	1.980084451208122e-06
1072.87	7.633840457877868e-07	2.164870334533249e-06	2.666109177234537e-06
1078.28	8.339873129785594e-07	2.2920032802694597e-06	2.8770907026342933e-06
1083.7	9.304591371150319e-07	3.01377622243046e-06	3.7307813410017422e-06
1089.11	8.621988630341407e-07	2.099888434354995e-06	2.1048237968705136e-06
