# molecules 	Acetylene	Ethylene	Ethane
ScaledConcentrations_Means	-2.7581651194885127e-10	1.1104525510820335e-09	1.408617371559707e-08
ScaledConcentrations_StdDevs	2.8666339847126096e-10	2.2679402954846523e-09	4.1769179228738914e-08
ScaledConcentrations_StdErrs	3.5021508108524064e-11	2.7707300573263465e-10	5.102917417593958e-09
ScaledConcentrations_absolute_uncertainties_Means	2.6290358261118517e-09	6.8347867783189745e-09	3.805033966315003e-09
ScaledConcentrations_absolute_uncertainties_StdDevs	6.421945661658389e-09	1.6717950115707637e-08	9.233710951750233e-09
ScaledConcentrations_relative_uncertainties_Means	-9.531828995790478	6.154956167788624	0.27012544663579136
ScaledConcentrations_relative_uncertainties_StdDevs	-23.283398141331382	15.055078309665314	0.6555159078810809
ScaledConcentrations_absolute_uncertainties_Total	2.6292690773311547e-09	6.840400555200666e-09	6.365378987585474e-09
