Time	Acetylene Concentration Relative to CO	Ethylene Concentration Relative to CO	Ethane Concentration Relative to CO
747.187	4.1271571035331445e-10	1.5442071139442407e-09	1.6843900010094507e-09
751.547	3.0553011436258193e-09	1.5274150514387e-08	1.867969129145998e-08
756.016	3.3433558681648435e-09	1.660616560136708e-08	2.018613650719998e-08
760.625	1.2042962012023965e-09	5.909668872991431e-09	7.109032026537901e-09
765.266	4.363003219719284e-10	2.1372575737510034e-09	2.573345108004154e-09
770.078	1.5753274385965385e-10	7.720759165147256e-10	9.33204792216464e-10
775.078	5.750148567135846e-11	2.81247009569894e-10	3.382223698181863e-10
780.25	2.3836695019076107e-11	1.06897955908466e-10	1.2378302279593822e-10
785.375	1.3213768850506147e-11	5.3582261227030425e-11	6.084599525913705e-11
790.609	1.19566829092546e-11	4.551916581942484e-11	4.9368043633011306e-11
796.031	1.1754260282743698e-11	4.4107875849320035e-11	4.7282275356811406e-11
801.437	1.1594563807179375e-11	4.3558339212623106e-11	4.685645367675967e-11
806.844	1.1617841613753539e-11	4.3681460195338386e-11	4.70454390972405e-11
812.25	1.1679126750893042e-11	4.403464506280568e-11	4.7579048274968825e-11
817.656	1.1513924476154887e-11	4.322334881238054e-11	4.648825363902444e-11
823.062	1.1449484176489337e-11	4.314036727269553e-11	4.66100128184149e-11
828.484	1.1485225118714312e-11	4.308401633585052e-11	4.629199437440958e-11
833.891	1.1452931036484528e-11	4.306286021043667e-11	4.6395944995094684e-11
839.297	1.1344485908949593e-11	4.2536029819478577e-11	4.567066353447731e-11
844.703	1.1277201454216609e-11	4.25601516457707e-11	4.6061007352180715e-11
850.109	1.1359697296259329e-11	4.2657164919874604e-11	4.588647483991661e-11
855.531	1.13232562777276e-11	4.2470170973460173e-11	4.56177869765084e-11
860.937	1.132860808315272e-11	4.2470334719129675e-11	4.5590850559670784e-11
866.328	1.1330229738789197e-11	4.252500880844957e-11	4.5718641094701306e-11
871.734	1.1253466238575473e-11	4.2215344191419796e-11	4.535581430600202e-11
877.156	1.1260376194963379e-11	4.228998514072869e-11	4.5494184967732927e-11
882.562	1.1177428648665726e-11	4.2258039312514875e-11	4.5806794816741896e-11
887.969	1.1268130604540635e-11	4.245053554249426e-11	4.5837639683846195e-11
893.375	1.1189403318878238e-11	4.207826248971088e-11	4.534218778738318e-11
898.781	1.1119426896889951e-11	4.2043616979675014e-11	4.5602073767461e-11
904.187	1.1243190199992263e-11	4.257785603058685e-11	4.6259558065597523e-11
909.594	2.0799410799388896e-09	1.1585463618063548e-08	1.4760872808604491e-08
915.0	2.0528219862823607e-08	1.0263046767846135e-07	1.2519462623831322e-07
920.406	9.95890648315014e-09	5.002535474791012e-08	6.121596707603202e-08
925.297	1.1227254292570054e-08	5.6907559736674815e-08	7.023113652112203e-08
929.594	4.6744768860832545e-09	2.1602339499204975e-08	2.5214559429602302e-08
933.875	1.1621103618571002e-08	5.9284105465118365e-08	7.301171481378606e-08
938.297	1.148212327041865e-08	5.67320518688454e-08	6.896055465160518e-08
942.734	6.670299782070117e-09	3.37458864948335e-08	4.1593434432173594e-08
947.094	9.201110770581232e-09	4.5816611299296026e-08	5.5728574116121565e-08
951.594	4.0448543605574185e-09	2.0004426520259483e-08	2.4167974816482772e-08
956.125	1.4867930193417623e-09	7.360049374511106e-09	8.92813970246408e-09
960.844	5.467042017020455e-10	2.690898904616775e-09	3.248436862265841e-09
965.719	1.9134416412664968e-10	9.356732755628455e-10	1.122232439736516e-09
970.687	6.78746197880428e-11	3.3120154956652e-10	3.99963570546554e-10
975.797	2.6443949985484095e-11	1.2331358950265593e-10	1.473540977551917e-10
981.062	1.4426309735011067e-11	6.048356143287693e-11	6.823124734105618e-11
986.391	1.1886285012006656e-11	4.513309198560782e-11	4.854074059378906e-11
991.734	1.1512026817300068e-11	4.345833139711876e-11	4.710941731753429e-11
997.156	1.1480915105894176e-11	4.3110359140933295e-11	4.635508074201049e-11
1002.56	1.1371895041834203e-11	4.2661038263156955e-11	4.5840184637340636e-11
1007.97	1.1375542068008008e-11	4.266556881566142e-11	4.5817825788877854e-11
1013.37	1.1337601518768708e-11	4.251387245399257e-11	4.565198942802723e-11
1018.78	1.1284979184072694e-11	4.234087659152143e-11	4.5498991065818164e-11
1024.2	1.1292870963424998e-11	4.2341909454667e-11	4.5464056808900515e-11
1029.61	1.1260520993977051e-11	4.224278164418978e-11	4.5386464574840706e-11
1035.02	1.119693208027158e-11	4.197999107846987e-11	4.506867266898167e-11
1040.42	1.1165263038596436e-11	4.202932614255987e-11	4.534562443568726e-11
1045.83	1.1256563389434755e-11	4.2425345518476075e-11	4.583970335518849e-11
1051.23	1.1141427077800815e-11	4.183527928966166e-11	4.4997433817455344e-11
1056.66	1.1106580486643291e-11	4.169463303317681e-11	4.483638994474243e-11
1062.06	1.111390717554486e-11	4.1666052609933404e-11	4.4729957648829995e-11
1067.47	1.1070294203421103e-11	4.150028872820489e-11	4.454946126283403e-11
1072.87	1.1034651477434084e-11	4.141730701666449e-11	4.453025480114815e-11
1078.28	1.1082444152921661e-11	4.1615769517504516e-11	4.477289333098284e-11
1083.7	1.1017467471612185e-11	4.137352533695752e-11	4.449767631762055e-11
1089.11	1.1036832940586399e-11	4.146466974999063e-11	4.462539532756971e-11
