# molecules 	ethyne	ethene	ethane
ScaledConcentrations_Means	9.378560000452686e-11	-7.613755560710371e-10	1.5466868726875652e-08
ScaledConcentrations_StdDevs	8.114056342572092e-11	9.016354955715985e-10	4.2828026994554316e-08
ScaledConcentrations_StdErrs	9.912897548477867e-12	1.1015230750590409e-10	5.232276260801542e-09
ScaledConcentrations_absolute_uncertainties_Means	1.5373423067372336e-09	7.67628588956165e-09	9.367314079040826e-09
ScaledConcentrations_absolute_uncertainties_StdDevs	3.76904053370038e-09	1.8891789576218025e-08	2.3097262582229615e-08
ScaledConcentrations_relative_uncertainties_Means	16.392093313504727	-10.082128101372149	0.6056373946436828
ScaledConcentrations_relative_uncertainties_StdDevs	40.18783836237605	-24.812708295635645	1.4933379852183772
ScaledConcentrations_absolute_uncertainties_Total	1.5373742659554196e-09	7.677076174503687e-09	1.072955208406874e-08
