Time	Acetylene relative uncertainty	Ethylene relative uncertainty	Ethane relative uncertainty
747.187	1.7882603759895452	3.586654837172411	0.03433012136015001
751.547	36.98403800559674	97.39422619187081	1.1589029399706214
756.016	36.682424780641234	37.00401982488578	3.0923640776202634
760.625	14.307419680413316	9.310436504576519	2.309109278944638
765.266	5.496375691820815	3.064617228853055	1.403720787164209
770.078	2.048407561939281	1.0892928489717009	0.6735823262164821
775.078	0.7316674591301756	0.3877158232447825	0.27445360186346335
780.25	0.30962268007453164	0.14623776501285013	0.10417705083639744
785.375	0.1676872872373858	0.07185970317698837	0.05070858841323258
790.609	0.15137173410342475	0.059855385765492	0.04029464085614088
796.031	0.14986633135802893	0.05813766333670152	0.03870932014107995
801.437	0.14987854678547013	0.0579225817673246	0.038732327110943605
806.844	0.14881528295296065	0.05778958149517158	0.03886653665812343
812.25	0.1485781747625536	0.05794859077090572	0.039177300350319064
817.656	0.14881912583542473	0.057568885551449275	0.03870638350914096
823.062	0.14852706409041846	0.057851560747398986	0.03912276505480149
828.484	0.1489325733233106	0.057465823461496396	0.03862331686601277
833.891	0.1490955366400699	0.05764542518722891	0.038877175271430274
839.297	0.1488080479723814	0.057393302358333294	0.0385751819508863
844.703	0.14976584468585136	0.05792492831930101	0.039299600950916336
850.109	0.14893297083379436	0.057466781417274224	0.03874899597580711
855.531	0.1486090982037028	0.05735490625422207	0.03861677710672633
860.937	0.14836860317907447	0.05730031254519552	0.03856863843266283
866.328	0.14843577600127858	0.057399093203921815	0.03870275236751308
871.734	0.14882123256971974	0.057351978087971024	0.038643713759572595
877.156	0.14859829113776465	0.057433912695245365	0.038770687266455585
882.562	0.14824992333378953	0.05793508455016788	0.039515473240521896
887.969	0.14873573765786502	0.05768519035080868	0.039118936733542005
893.375	0.14902544720413902	0.057527389651634876	0.03892183920859545
898.781	0.14901442516227553	0.05796408109831761	0.03952058195330251
904.187	0.14909137800274447	0.058081266330155014	0.03969428791049569
909.594	28.845346900921086	17.061557055539225	13.915193996806636
915.0	146.59583491585812	30.142669060350705	7.641351621474364
920.406	49.2637102505678	9.16905132365776	0.4601684104832797
925.297	24.024666488690315	14.456670484026139	0.4046057158354425
929.594	28.202580538884646	52.74021152302327	0.1374907249183868
933.875	29.013754305092647	22.44407877310457	0.3820407745830318
938.297	28.189033379573385	34.29630738532537	0.5173313358161243
942.734	80.26030474184425	25.132996284335547	0.7810438773469413
947.094	75.04883567427909	696.200650086077	2.7836913218924377
951.594	43.90674294536272	47.80829912773613	3.0915165373718865
956.125	19.976077921919494	12.939457171192657	2.5957415086128277
960.844	6.721650720690551	3.907253618140065	1.6488281358475985
965.719	2.5033866363963013	1.3334875091576883	0.7886436034299711
970.687	0.8920314170490925	0.4668442582239433	0.3246812246269222
975.797	0.35000151337451874	0.17280434742284634	0.1260074753268066
981.062	0.18403946626600745	0.08242054576820018	0.05784484091433818
986.391	0.15344299873276124	0.060363163960549	0.04010862300197013
991.734	0.15019853295750143	0.05856463930976048	0.03941926962160266
997.156	0.14914945442064906	0.05789034508032832	0.03869010330049448
1002.56	0.14921027452799354	0.05771516248567797	0.03858195165242983
1007.97	0.1487369721722352	0.05759402733546185	0.038581532759663015
1013.37	0.14900864288933063	0.05754621020875389	0.03855645386485299
1018.78	0.14868567258279988	0.05751398048826882	0.03863317033132668
1024.2	0.14888927783405068	0.057434165196625774	0.03856728564296984
1029.61	0.1487240200420992	0.0574527744219327	0.03862530405112478
1035.02	0.14852122983587435	0.057367939962242424	0.03856872508135614
1040.42	0.1490583095917884	0.057684952929807715	0.03901451951980011
1045.83	0.14871926434740257	0.05774211888145923	0.03915770891008884
1051.23	0.14856806439009143	0.05742180850263412	0.03874666818775018
1056.66	0.14853091193229392	0.05739571814280699	0.038728261498787914
1062.06	0.14791669768900528	0.05726587327379924	0.03858623263935779
1067.47	0.14837105179146795	0.05726985652708831	0.03857434260402843
1072.87	0.1482043828834515	0.057376453370014846	0.03871767695710862
1078.28	0.14863690539935975	0.05739173396878725	0.03878155635802234
1083.7	0.14784001839291513	0.057398534317598934	0.03879152933971742
1089.11	0.14915841277632247	0.057488530891185274	0.03883063091572903
