Acetylene,Ethylene,Ethane
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
22.07729468599034,0.0,0.0
100.0,60.81967213114754,22.621359223300974
0.0,61.967213114754095,32.33009708737865
0.0,100.0,100.0
0.0,0.0,21.2621359223301
0.0,0.0,20.97087378640777
