Time,Acetylene Concentration Relative to CO,Ethylene Concentration Relative to CO,Ethane Concentration Relative to CO
747.187,7.27263362561108e-10,1.8045531721431224e-09,1.3231088001871722e-09
751.547,1.645854172392402e-09,4.27528685410471e-09,2.313996467667985e-09
756.016,1.558269288258768e-09,5.416681112156438e-09,2.9201112965025577e-09
760.625,7.471541097056553e-10,1.936048850061238e-09,1.063820323809032e-09
765.266,2.691610052480906e-10,6.971225351579465e-10,3.859374926744178e-10
770.078,9.892661591432355e-11,2.560964427111801e-10,1.4239323362940246e-10
775.078,3.489951775070363e-11,9.057991915414424e-11,5.030511112753032e-11
780.25,1.2080774469021139e-11,3.111740819589988e-11,1.6871062016490732e-11
785.375,3.526116150904144e-12,8.97874531805082e-12,4.167047466260632e-12
790.609,1.6822199921422334e-12,4.478419521507225e-12,2.6226279822127966e-12
796.031,5.111970263297576e-13,1.2084077822785325e-12,8.271409846946745e-13
801.437,4.426718404911527e-13,1.1688122200981748e-12,6.402875612958886e-13
806.844,4.466774798946889e-13,1.2094734914449147e-12,3.71103369589026e-13
812.25,4.713010413869941e-13,1.2759345566548585e-12,3.2131282411711963e-13
817.656,4.764553754822855e-13,1.300408062534263e-12,3.9526676994052696e-13
823.062,5.134926237772775e-13,1.4145718318974808e-12,1.9894008186811574e-13
828.484,2.8533912857408024e-13,7.630388200412302e-13,2.7382878365821494e-13
833.891,4.2331800673770624e-13,1.1607329189356383e-12,2.7330454450975227e-13
839.297,2.075898933389486e-13,5.578482693487813e-13,2.481562186167786e-13
844.703,5.223703364294812e-13,1.4439494751009365e-12,1.3933931268491205e-13
850.109,3.38031214708645e-13,9.265764537195855e-13,1.4219689200048472e-13
855.531,2.791018461408185e-13,7.710460278862485e-13,1.6551699879873566e-13
860.937,1.431950063967012e-13,3.54953622442616e-13,1.4835921764435418e-13
866.328,2.3086056113785594e-13,6.303231402347115e-13,1.384766660904875e-13
871.734,1.9017763381857723e-13,5.151646574224653e-13,1.1028523050285929e-13
877.156,2.5360909515590366e-13,6.923717242398338e-13,1.0474665349603118e-13
882.562,5.068840149214134e-13,1.3972036853702323e-12,8.167238914445719e-14
887.969,5.030183538410251e-13,1.39321599588488e-12,8.163527314565492e-14
893.375,5.49470582911666e-13,1.5197913257149673e-12,6.943472888959426e-14
898.781,5.529385514621775e-13,1.5226546453194294e-12,7.443754623080804e-14
904.187,5.726830241032646e-13,1.5887576425484352e-12,8.490435608804345e-14
909.594,1.5813688509823474e-09,4.16212354680258e-09,2.8250279741248143e-09
915.0,9.764442221680847e-09,2.5418475024805173e-08,1.3795955324104659e-08
920.406,6.878109719782596e-09,1.776848705384029e-08,9.719219078767888e-09
925.297,8.07453044116156e-09,2.0953241812981425e-08,1.2022408443442528e-08
929.594,4.147192714097625e-09,1.0462249535100914e-08,6.8276387124907315e-09
933.875,7.042815667710636e-09,1.819911447599705e-08,1.143867901638232e-08
938.297,7.570601035122544e-09,1.963973889988608e-08,1.1356957188316221e-08
942.734,3.2700309839755586e-09,8.481366998025668e-09,5.001464617288022e-09
947.094,5.6214708070843005e-09,1.461530962305679e-08,8.046945496811518e-09
951.594,2.517388457783721e-09,6.5354515792435175e-09,3.560946618371516e-09
956.125,6.853249470115292e-10,2.379747021301475e-09,1.2875733463454711e-09
960.844,3.411981484017348e-10,8.846463974253476e-10,4.862128177455544e-10
965.719,1.2032399966784957e-10,3.1177844327749174e-10,1.7637062128502193e-10
970.687,4.158936863300452e-11,1.0767899243453072e-10,5.905268805821839e-11
975.797,1.4619302472375245e-11,3.7794553310407135e-11,2.055721255126252e-11
981.062,4.659311758982123e-12,1.20490768378216e-11,5.87755468705003e-12
986.391,1.6751111392071772e-12,4.391183891218439e-12,2.7196272201226242e-12
991.734,8.037893491330082e-13,2.068090550532513e-12,1.088586873154445e-12
997.156,5.075460466823648e-13,1.3480364214718062e-12,4.394623471857865e-13
1002.56,2.9623118481156084e-13,7.714676353228347e-13,4.5381426850596047e-13
1007.97,2.693159710235731e-13,7.120376644577282e-13,2.7349135963018124e-13
1013.37,1.713262274246564e-13,4.280779652454198e-13,2.1883665859001337e-13
1018.78,2.4865460270683797e-13,6.584435110789698e-13,3.6715385569876183e-13
1024.2,2.0367206418890463e-13,5.35978060673232e-13,2.0121709380765784e-13
1029.61,2.7597998489711343e-13,7.352418433310353e-13,3.821677039723567e-13
1035.02,1.9358375975674834e-13,5.037499871529396e-13,3.49361484743211e-13
1040.42,4.491975309106895e-13,1.232606907915782e-12,3.8618109807433283e-13
1045.83,4.1731814314427677e-13,1.1498257476684262e-12,1.3658805568496238e-13
1051.23,4.362771312101528e-13,1.2097382292398007e-12,1.23370899545005e-13
1056.66,3.0707133249868804e-13,8.46318350113395e-13,8.519266198818521e-14
1062.06,1.3137758839195471e-13,3.4335173201996044e-13,1.9099779558068974e-13
1067.47,1.3751815517735392e-13,3.628824413595277e-13,1.5938414684385486e-13
1072.87,2.3577070655532675e-13,6.387728661267843e-13,1.5919261336912322e-13
1078.28,2.5713966467998413e-13,6.938400579989487e-13,1.1855950959762641e-13
1083.7,2.7714896333299606e-13,7.463148503034563e-13,4.945197695769086e-14
1089.11,2.618972864005947e-13,9.063517473655829e-13,5.416638473397501e-14
