# molecules 	ethyne	ethene	ethane
ScaledConcentrations_Means	-2.7581651194885127e-10	1.1104525510820335e-09	1.408617371559707e-08
ScaledConcentrations_StdDevs	2.8666339847126096e-10	2.2679402954846523e-09	4.1769179228738914e-08
ScaledConcentrations_StdErrs	3.5021508108524064e-11	2.7707300573263465e-10	5.102917417593958e-09
ScaledConcentrations_absolute_uncertainties_Means	2.6290358261118488e-09	6.834786778318966e-09	3.805033966315023e-09
ScaledConcentrations_absolute_uncertainties_StdDevs	6.421945661658371e-09	1.6717950115707584e-08	9.23371095175028e-09
ScaledConcentrations_relative_uncertainties_Means	-9.531828995790468	6.154956167788617	0.27012544663579274
ScaledConcentrations_relative_uncertainties_StdDevs	-23.28339814133132	15.055078309665266	0.6555159078810843
ScaledConcentrations_absolute_uncertainties_Total	2.629269077331152e-09	6.840400555200658e-09	6.365378987585486e-09
