Mass	Acetylene	Ethylene	Ethane
12.0	2.1545893719806766	1.4672131147540983	0.50873786407767
13.0	6.618357487922706	2.4918032786885242	1.0679611650485437
14.0	0.33623188405797105	5.254098360655737	3.815533980582525
15.0	0.022318840579710147	0.5229508196721311	5.6213592233009715
16.0	0.04830917874396136	0.1122950819672131	0.12330097087378641
17.0	0.3521739130434783	0.1762295081967213	0.04349514563106797
21.0	-8.454106280193239e-05	-0.00033934426229508197	0.0026019417475728157
22.0	0.0022270531400966184	0.0005475409836065573	0.0023398058252427187
24.0	6.280193236714977	3.2459016393442623	0.741747572815534
25.0	22.07729468599034	10.0	3.718446601941748
26.0	100.0	60.81967213114754	22.621359223300974
27.0	2.077294685990338	61.967213114754095	32.33009708737865
28.0	1.0096618357487923	100.0	100.0
29.0	0.014009661835748794	2.0327868852459017	21.2621359223301
30.0	0.0033381642512077298	0.01819672131147541	20.97087378640777
