Time	Acetylene Concentration(bar)	Ethylene Concentration(bar)	Ethane Concentration(bar)
747.187	-0.0013051806307807113	0.009520678116197827	0.07388718666782246
751.547	-0.00046462731259137163	0.0034577354419997527	0.026910491144280603
756.016	-0.0004224671992000689	0.0019468958311021857	0.009706443048572886
760.625	-0.00044070605136727173	0.0014837917958417082	0.0034999193684758013
765.266	-0.0004445236942938419	0.0013258697202548453	0.0012584154529319655
770.078	-0.00043829277142247506	0.001248195371852058	0.0004837666327093218
775.078	-0.0004338784286997517	0.0012133203465668724	0.00020843964238922543
780.25	-0.00042955893123308833	0.0011806106903799005	0.00013361914388980946
785.375	-0.00042495110242261836	0.001178755196304415	8.783276912485866e-05
790.609	-0.000425716440526545	0.001177235869677828	7.287965043669079e-05
796.031	-0.00042396089853012663	0.0011720356033873233	6.409573739894434e-05
801.437	-0.00042160384606612167	0.0011650887687868977	5.9938029083081566e-05
806.844	-0.0004210466026026434	0.0011612256601702244	5.9786527053957545e-05
812.25	-0.0004241947677771544	0.0011716656313904906	5.4691825926053036e-05
817.656	-0.0004191707055511874	0.0011566000711945965	5.377721762384941e-05
823.062	-0.00041598542317781815	0.00114829354255505	5.393711384416271e-05
828.484	-0.00041884799335374125	0.0011552516453381201	5.161981438762625e-05
833.891	-0.0004185348142299616	0.0011556441537002421	4.8073710315719064e-05
839.297	-0.00041413547727134266	0.0011425073307670234	4.885360497117726e-05
844.703	-0.0004122551667598559	0.0011365220477522748	4.7161900077245197e-05
850.109	-0.0004151254604908329	0.001144828576391821	4.700200385693189e-05
855.531	-0.0004134908472992561	0.001140385156368948	4.7313402106369224e-05
860.937	-0.00041408450180798796	0.0011430932762645453	4.515320080641629e-05
866.328	-0.0004140161373121122	0.0011428998391291452	4.530750089927008e-05
871.734	-0.00041174986972093914	0.001135753933301998	4.45415965624607e-05
877.156	-0.0004113197780409458	0.0011343998733541994	4.562169721243716e-05
882.562	-0.00040687458523260765	0.0011222302360979794	4.563009140362645e-05
887.969	-0.00041134400793651447	0.0011343998733541994	4.562169721243716e-05
893.375	-0.00040916600954595575	0.0011276408417978515	4.4547192689920225e-05
898.781	-0.0004062014001741222	0.0011203014988353038	4.393558844596464e-05
904.187	-0.0004107149574783362	0.0011326645732269236	4.377289416192156e-05
909.594	-0.00040536293103748646	0.0011181793244372283	4.23953855811566e-05
915.0	0.0021207843006505306	-0.015903616342885427	0.0379546811514709
920.406	-0.001480254752201656	0.002488145985761374	0.23332795789838665
925.297	-0.0018868481859057444	0.010315210230711394	0.3033263452679027
929.594	-0.0010515035026331108	0.010948943328383786	0.3235481016190962
933.875	-0.0008159147463276204	0.00801283362587079	0.339103298812322
938.297	-0.003011403695062446	0.023488327124587254	0.22710587902109633
942.734	-0.00141266263987151	0.010910637822010771	0.09053124766457403
947.094	-0.000711508531853091	0.00456735161051447	0.03282146607770639
951.594	-0.00044033165240299125	0.0021280702484567974	0.011961946641590627
956.125	-0.0004074908473063547	0.0014392479905448378	0.004293234425330316
960.844	-0.0004413592434518176	0.0013455411047661652	0.0015057430883042558
965.719	-0.00043279757233822907	0.001233358931369938	0.0005739867764300313
970.687	-0.0004277865298193527	0.0011952912543354362	0.00024577211565296735
975.797	-0.00042208654618968133	0.0011641741679622407	0.00014357447009347396
981.062	-0.0004189221836168577	0.00116000306235328	9.799774231732241e-05
986.391	-0.0004197629036181091	0.001161004052578213	7.612834657780946e-05
991.734	-0.00041484110126105374	0.0011455628862941636	6.904733068891415e-05
997.156	-0.0004160319410465419	0.001150211011635081	6.210662457422379e-05
1002.56	-0.00041318075759749794	0.0011415232428160576	5.933761709404504e-05
1007.97	-0.00041287534616337227	0.0011394010684179822	5.779741422923701e-05
1013.37	-0.0004130735987879522	0.001140760762457103	5.347980969306091e-05
1018.78	-0.0004110721387986221	0.001134775479442354	5.178810479912885e-05
1024.2	-0.00041131183381289046	0.001133808293765355	5.2559605263397754e-05
1029.61	-0.00041041625450345735	0.0011320729936380796	5.0710802212882156e-05
1035.02	-0.0004090837426509832	0.0011297630161959268	4.608739555472827e-05
1040.42	-0.0004075763253774916	0.0011239655362252552	4.747889445414206e-05
1045.83	-0.0004105435386907432	0.0011322720648648016	4.731899823382875e-05
1051.23	-0.00040654573832571883	0.001120682739014781	4.68644921464567e-05
1056.66	-0.0004056986188074229	0.0011189474388875052	4.5015689095941104e-05
1062.06	-0.00040558872365265816	0.0011195277502937047	4.455278881737976e-05
1067.47	-0.0004041652503889508	0.0011143105817292328	4.5481387438232206e-05
1072.87	-0.00040302737212383124	0.0011125752816019568	4.363258438771661e-05
1078.28	-0.00040510244862647366	0.00111682526448943	4.347548623113306e-05
1083.7	-0.0004018029459075095	0.0011092924843914829	4.301818208003124e-05
1089.11	-0.00040383388780984456	0.001113349030143556	4.3015384016301486e-05
