Source:	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook
Molecules	ethyne	ethene	ethane	ethanol
Electron Numbers	14	16	18	26
ionizationEfficiencies	1.0	1.0857142857142859	1.1714285714285713	1.5142857142857142
ionizationEfficienciesSources	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo
Molecular Mass	26.0373	28.05	30.07	46.07
1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	2.000200020002000367e-01	0.000000000000000000e+00
1.200000000000000000e+01	7.000700070007001008e-01	5.000500050005001196e-01	4.000400040004000735e-01	2.000200020002000367e-01
1.300000000000000000e+01	3.200320032003200588e+00	9.000900090009000820e-01	1.000100010001000239e+00	1.390139013901390275e+00
1.400000000000000000e+01	1.000100010001000184e-01	2.100210021002100191e+00	3.000300030003000273e+00	1.450145014501450280e+00
1.500000000000000000e+01	0.000000000000000000e+00	3.000300030003000273e-01	4.400440044004400697e+00	6.640664066406641197e+00
1.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00
1.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.000700070007001008e-01
1.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.500550055005500871e-01
1.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.790279027902790254e+00
2.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	5.000500050005000752e+00	2.300230023002300506e+00	5.000500050005001196e-01	6.100610061006100926e-01
2.500000000000000000e+01	1.912191219121912411e+01	7.810781078107811304e+00	3.500350035003500615e+00	2.460246024602460224e+00
2.600000000000000000e+01	1.000000000000000000e+02	5.295529552955295571e+01	2.322232223222322389e+01	9.850985098509850602e+00
2.700000000000000000e+01	2.200220022002200349e+00	6.236623662366236687e+01	3.323332333233323510e+01	2.241224122412241471e+01
2.800000000000000000e+01	1.000100010001000184e-01	1.000000000000000000e+02	1.000000000000000000e+02	3.450345034503450314e+00
