Time	ethyne Concentration Relative to CO	ethene Concentration Relative to CO	ethane Concentration Relative to CO	ethanol Concentration Relative to CO
747.187	9.132507032649082e-10	3.0870968697595677e-09	4.653398468831519e-09	3.595108580410397e-09
751.547	2.2447052061619293e-09	8.201123459573994e-09	1.337232988939033e-08	1.007134240724433e-08
756.016	2.4398086787946543e-09	8.893024557760709e-09	1.4358006877141753e-08	1.0810070802166768e-08
760.625	8.827876695006628e-10	3.199875438428334e-09	5.063180209789217e-09	3.816967749088769e-09
765.266	3.2116342274176985e-10	1.162790684668139e-09	1.8376748396982885e-09	1.388042222355234e-09
770.078	1.1752480839333943e-10	4.254220373380069e-10	6.728856310426044e-10	5.09855381746827e-10
775.078	4.5980403172811e-11	1.6713280253270266e-10	2.5684910682659046e-10	1.9624619102390844e-10
780.25	2.504695320395188e-11	8.899771829972204e-11	1.2217970532634813e-10	9.736169397354481e-11
785.375	1.9832794506841138e-11	7.086578870952136e-11	9.269919531604903e-11	7.609287497811689e-11
790.609	1.9300047241161724e-11	6.889341264008274e-11	8.850235919442056e-11	7.311466196722802e-11
796.031	1.9088880154714852e-11	6.816306262805809e-11	8.714182706769676e-11	7.214462672229432e-11
801.437	1.8876006081471508e-11	6.746797755016708e-11	8.626083798007795e-11	7.144561862787215e-11
806.844	1.8920452942726054e-11	6.758240498991124e-11	8.640194832367035e-11	7.155317019567656e-11
812.25	1.9005144056427385e-11	6.790946976382201e-11	8.684883151057957e-11	7.192491562516232e-11
817.656	1.8742636861600937e-11	6.700825402967382e-11	8.553637206052193e-11	7.089741008265879e-11
823.062	1.8629147861333336e-11	6.659442677990986e-11	8.51193289968754e-11	7.0519467504421e-11
828.484	1.8696996201395714e-11	6.684803158407849e-11	8.529013841308799e-11	7.070543775477858e-11
833.891	1.8625890883595888e-11	6.66383888445776e-11	8.503680368866811e-11	7.050790466558253e-11
839.297	1.848253943109806e-11	6.6038557783961e-11	8.427453284721044e-11	6.984520406741825e-11
844.703	1.8333834910747002e-11	6.557157866170815e-11	8.379725340735132e-11	6.943971363574893e-11
850.109	1.8482618483788433e-11	6.610014368530424e-11	8.430935756378003e-11	6.990775630038611e-11
855.531	1.8437083246494597e-11	6.590345645580833e-11	8.405653045690379e-11	6.968646677882809e-11
860.937	1.8450149094827272e-11	6.593851107025839e-11	8.409264103614003e-11	6.971513597704998e-11
866.328	1.8440315289041958e-11	6.59286987257781e-11	8.408660096810702e-11	6.971757323181595e-11
871.734	1.83157367956944e-11	6.548772900821619e-11	8.350280856920883e-11	6.924073960073744e-11
877.156	1.831480949033786e-11	6.551007575184144e-11	8.352763536136138e-11	6.927089120202995e-11
882.562	1.8152652949975328e-11	6.494567615430103e-11	8.295290346115872e-11	6.876073234866293e-11
887.969	1.8321424032633076e-11	6.552605213143837e-11	8.36443396371515e-11	6.933997623794762e-11
893.375	1.8187005727860714e-11	6.50814744865098e-11	8.298265575374893e-11	6.882966811827547e-11
898.781	1.806182527263418e-11	6.463072840186558e-11	8.257050679043909e-11	6.844287251690698e-11
904.187	1.825930435117879e-11	6.532928986713781e-11	8.350883183797376e-11	6.920502969545805e-11
909.594	1.5091385763190352e-09	6.638161924338027e-09	1.0768813228671415e-08	8.509438994269547e-09
915.0	1.4937202420965887e-08	5.481655121856357e-08	8.89988889767184e-08	6.704016298013461e-08
920.406	7.687421275929152e-09	2.8174079962352076e-08	4.5599892775014914e-08	3.447835643850452e-08
925.297	8.811713276459288e-09	3.2318196682725676e-08	5.297768684680229e-08	4.005131592770462e-08
929.594	4.9897744318485476e-09	1.7102345609144595e-08	2.5937956304230167e-08	1.977088735720173e-08
933.875	9.282060859104193e-09	3.509977931247634e-08	5.597788397284116e-08	4.301027714763159e-08
938.297	8.776311786502517e-09	3.161295753610109e-08	5.084707070821556e-08	3.833914568563426e-08
942.734	4.9745845869203735e-09	1.8573932231636885e-08	3.020577987679627e-08	2.299059191383355e-08
947.094	6.720943843187709e-09	2.4665379161120335e-08	3.970874250371811e-08	2.9981160317258295e-08
951.594	2.953590646693656e-09	1.0765781444150173e-08	1.7192590728137912e-08	1.2944807821560293e-08
956.125	1.0867305115925758e-09	3.952091772084358e-09	6.3535084178063e-09	4.7854760493166395e-09
