Time	Acetylene relative uncertainty	Ethylene relative uncertainty	Ethane relative uncertainty
747.187	0.940005616431518	0.38116786907953826	0.033109828399350845
751.547	18.31192627201314	7.611557246299697	0.4816724974754678
756.016	22.91897543358496	14.14636555341539	1.4557091140321026
760.625	8.170751729059306	6.3817920684475	1.455850933629996
765.266	2.955982538931878	2.5631405983268722	1.4879466899821117
770.078	1.0919135874201202	0.9835273327130646	1.4128159787062715
775.078	0.39541408239919285	0.36339478076815707	1.1799601186376236
780.25	0.13038172204237802	0.11913442206467631	0.5527217094677885
785.375	0.04759272374251406	0.04119914209220576	0.2547391590736533
790.609	0.027927830838164892	0.020562736176361732	0.16236565070829062
796.031	0.02230507190558262	0.0127838050791937	0.06984267998276399
801.437	0.02224041203234264	0.012929933850580961	0.06203960887980019
806.844	0.022232502922635317	0.0129914133794669	0.04564095569794065
812.25	0.022733362288051544	0.013824666050255755	0.0439353672107432
817.656	0.02190112444069073	0.012420913824823777	0.04584255205301917
823.062	0.022630588340689105	0.013657177916410773	0.03838123693773083
828.484	0.021670536236113924	0.012045477504969732	0.04153235478774104
833.891	0.02218887736230958	0.012927463258572284	0.05088204202767568
839.297	0.0215341424200677	0.011805588027406654	0.039576792602530726
844.703	0.022848186454769465	0.014063976283397953	0.036131559956403735
850.109	0.021818791666583726	0.012330088107030531	0.03652493970450925
855.531	0.021589519672689038	0.01192238576831125	0.04089958250013925
860.937	0.021477464519029092	0.011705023780033698	0.03884967264331023
866.328	0.021725745789494186	0.012141932173377433	0.03562489886827813
871.734	0.021610152314144176	0.011953148438880044	0.03773743191925591
877.156	0.021827153672128313	0.012350584924348719	0.035191632915094896
882.562	0.023162780235074846	0.014575172757337121	0.034567342509856124
887.969	0.022474918070706618	0.01345295157914827	0.035744085596092864
893.375	0.022096692420515342	0.012827390453639563	0.03431005122550955
898.781	0.02319940856144969	0.014633207626071294	0.034798797072956265
904.187	0.023496174043405336	0.015100786316513133	0.035888587966051384
909.594	25.884218186441274	24.46717399118622	427.5504035741957
915.0	29.916193881032793	9.839452284758814	2.2798946978166272
920.406	16.866379111113083	714.6472900040753	0.18989982101546257
925.297	15.227570780740267	13.398119011283915	0.16936101623038244
929.594	8.396734991189247	4.471858339209527	0.057935966337874865
933.875	30.820848330812638	25.141339699766245	0.19021555162609083
938.297	10.225270590723452	4.238699031230514	0.21245711803884923
942.734	14.19090246228838	5.781927440231956	0.36464165562935436
947.094	36.85790691006668	17.341728041321478	1.225867632663841
951.594	26.196142053683584	15.62251965984647	1.4243728291476665
956.125	10.704881068787865	8.264469250948716	1.457021159086292
960.844	3.755621393228276	3.19598984110233	1.5677403634733202
965.719	1.3373142181927888	1.2043522246980092	1.4591147919763416
970.687	0.47297132317302104	0.43406219275258234	1.1638232165821447
975.797	0.16610034640091612	0.15309826943150975	0.6625034851519346
981.062	0.057950522995277455	0.05156111706307759	0.2941640601805356
986.391	0.02849839685099239	0.02097759777237047	0.17599402794136657
991.734	0.02395356294564	0.01540198730832327	0.06736706143067066
997.156	0.02202882762980191	0.012570800571194602	0.04713910578914914
1002.56	0.02177353843630829	0.012177067615433034	0.04452517925708937
1007.97	0.021636817572125582	0.011968159851374494	0.03876022367653269
1013.37	0.021573572256681786	0.011852870145552023	0.03823054600457775
1018.78	0.02176999833023408	0.012199530979638933	0.04930672008330814
1024.2	0.021543463302234788	0.011832611243559048	0.038412907501747875
1029.61	0.02174826877714212	0.012174146212335566	0.051988025416881634
1035.02	0.021680302256568897	0.012019011528951537	0.06245868632648532
1040.42	0.022369821240618756	0.013269058512264176	0.04353315272441969
1045.83	0.022573984485620858	0.013619967602654295	0.03595653858307959
1051.23	0.02180293923564339	0.01231694068432683	0.03731844280639795
1056.66	0.021759370290263487	0.012222623668405753	0.03573346961221396
1062.06	0.02151312116668823	0.011756839138380944	0.040930297984295566
1067.47	0.021493260270566777	0.011746439059072215	0.041663841225644746
1072.87	0.021751448404434028	0.012178917583879427	0.03722355748655592
1078.28	0.021846094276574423	0.012360487512016204	0.03516442615427991
1083.7	0.0218457248427091	0.012329583069094442	0.03419145568338145
1089.11	0.021929553081955204	0.012499323005319023	0.03424797492385251
