ethyne	ethene	ethane	ethanol
0.03705796791895214	0.014976984974825946	0.0	0.0
0.10899835309384973	0.02435552936218428	0.0	0.02738074824905082
0.0	0.049063997368464105	0.04061276146649287	0.026831679011231836
0.0	0.0	0.05705850825233745	0.11499254399771805
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.010509082484493708
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.05924180046214015	0.01817208265248921	0.0	0.0
0.1977096318724169	0.05314912008191726	0.022526830605739765	0.018378052332071373
0.8505034609588479	0.3069970949593082	0.13015215181938086	0.06635733041574225
0.01678676151686723	0.2971973148918859	0.17673899881420688	0.13548242184868364
0.0	0.4559317363932873	0.5196875212767985	0.018613673780783803
0.0	0.008815631349829487	0.10510198679548831	0.1427912391689402
0.0	0.0	0.09866055849810183	0.034173620494198635
