# molecules 	ethyne	ethene	ethane	ethanol
ScaledConcentrations_Means	-1.8680850117223458e-11	-1.0540939283411486e-09	1.6964637938393858e-08	-6.967724903780983e-10
ScaledConcentrations_StdDevs	6.308251073435971e-11	2.7230039728200025e-09	4.818746697903778e-08	6.339164538903869e-10
ScaledConcentrations_StdErrs	7.706755285017385e-12	3.3266788233943135e-10	5.8870360657668516e-09	7.744522094010794e-11
ScaledConcentrations_absolute_uncertainties_Means	1.1963714917666234e-09	4.389810805537809e-09	7.0475364029159506e-09	5.345737854566425e-09
ScaledConcentrations_absolute_uncertainties_StdDevs	2.85747936443767e-09	1.0491732689964008e-08	1.695229734965561e-08	1.2827973526167748e-08
ScaledConcentrations_relative_uncertainties_Means	-64.04266852200624	-4.164534760622474	0.41542509946328876	-7.672142526272244
ScaledConcentrations_relative_uncertainties_StdDevs	-152.9630261206966	-9.953318587533357	0.9992725698725159	-18.410562562834173
ScaledConcentrations_absolute_uncertainties_Total	1.196396314098685e-09	4.402397849849183e-09	9.182862461676378e-09	5.346298810578296e-09
