Mass	ethyne	ethene	ethane
12.0	0.024215246636771298	0.03089385474860335	0.3625954198473282
13.0	0.01781021897810219	0.02605263157894737	0.33636363636363636
14.0	0.024856321839080462	0.021216848673946957	0.3206106870229007
15.0	0.3225108225108226	0.02601880877742947	0.2970639032815199
16.0	0.22499999999999998	0.049927007299270076	0.3551181102362204
17.0	0.045541838134430725	0.16604651162790696	0.7745535714285715
21.0	-0.5257142857142856	-0.17270531400966183	0.1044776119402985
22.0	0.12169197396963126	0.11811377245508983	0.05684647302904564
24.0	0.009999999999999998	0.009999999999999998	0.08272251308900522
25.0	0.010000000000000002	0.009999999999999998	0.05900783289817232
26.0	0.010000000000000002	0.01	0.03510729613733905
27.0	0.01	0.01	0.017987987987987987
28.0	0.08708133971291865	0.009999999999999998	0.01
29.0	0.08517241379310345	0.01	0.015799086757990865
30.0	0.07641099855282199	0.014909909909909909	0.031064814814814812
