Time	Acetylene Concentration Relative to CO	Ethylene Concentration Relative to CO	Ethane Concentration Relative to CO
747.187	3.1139053575369196e-11	2.1552930156930754e-09	4.085108198703869e-08
751.547	1.0921363129058378e-11	8.198692158549474e-10	1.4829489198818995e-08
756.016	1.877180143960393e-11	2.3066615129128653e-10	5.390132386929482e-09
760.625	9.146429456047698e-12	7.522272169222034e-11	1.9576840802178295e-09
765.266	4.097228047967678e-12	1.723232269341633e-11	7.283143476129305e-10
770.078	1.733533440924128e-12	5.480090938199263e-12	2.891041772890444e-10
775.078	3.3760675975354747e-12	-1.0688301766043746e-11	1.380902732980561e-10
780.25	1.272692706892379e-12	-9.048040927736843e-12	8.214030814044013e-11
785.375	2.9810044015148444e-12	-1.3702680318886932e-11	7.068203190272412e-11
790.609	2.7246280713366864e-12	-1.527074580205813e-11	6.314777090814919e-11
796.031	2.4576893315181556e-12	-1.429987355339096e-11	5.741625967211535e-11
801.437	1.949051897905774e-12	-1.2948368980834443e-11	5.473393034489612e-11
806.844	2.4758384729773556e-12	-1.5262607676202664e-11	5.3745977084380325e-11
812.25	2.5581541305501435e-12	-1.523712612562693e-11	5.249608724741617e-11
817.656	2.15794139927767e-12	-1.3702537436278458e-11	4.963337898290968e-11
823.062	2.3836332437211453e-12	-1.4131147825958783e-11	4.983251463062682e-11
828.484	2.0371829217302206e-12	-1.3743239499552256e-11	4.872133002438925e-11
833.891	1.8822903246034863e-12	-1.2760505199404557e-11	4.706552705929846e-11
839.297	2.17793136361702e-12	-1.5073838745729034e-11	4.948854940262383e-11
844.703	1.6600729104694342e-12	-1.3443641857078194e-11	4.7200910748747894e-11
850.109	1.933169064893859e-12	-1.3640202844445666e-11	4.6383964675311034e-11
855.531	2.1402360090942582e-12	-1.4525092624962474e-11	4.7283526994491266e-11
860.937	2.2722915043077743e-12	-1.4948119921182093e-11	4.748223612790461e-11
866.328	2.192659511318555e-12	-1.4239259227510028e-11	4.65129251443647e-11
871.734	1.9629117271519693e-12	-1.4013348018015298e-11	4.591329341100303e-11
877.156	2.0180091998686497e-12	-1.3461378357190261e-11	4.4789575518994314e-11
882.562	2.2715469640904084e-12	-1.3712401672128431e-11	4.389359382190507e-11
887.969	2.058923060693554e-12	-1.3978381501489262e-11	4.557783732848386e-11
893.375	1.7412156170231884e-12	-1.2736126140183025e-11	4.331983504226234e-11
898.781	1.8638009375508687e-12	-1.3068449998129872e-11	4.392759605323498e-11
904.187	1.9046649673456456e-12	-1.3623050917993179e-11	4.471873010356772e-11
909.594	2.037912801760566e-12	-1.3791700418781827e-11	4.3816455549258634e-11
915.0	-1.0519017527654431e-10	-3.6420305989601912e-09	1.658468677204076e-08
920.406	-2.6392248287143206e-10	-9.47460759640802e-10	1.2403473827591393e-07
925.297	-6.570723033926142e-11	1.1216386400993492e-09	1.6297889202024747e-07
929.594	-8.477159604939532e-11	1.946901314465143e-09	1.753952790014829e-07
933.875	6.18176888409713e-11	5.525991235080628e-10	1.8298945439976194e-07
938.297	4.554522139202583e-13	5.4134502185774134e-09	1.2521272772476563e-07
942.734	-7.918058848354745e-11	2.8469255562691175e-09	5.003302517103972e-08
947.094	1.4622397071729966e-11	9.391468043276049e-10	1.8148225656473517e-08
951.594	1.9359651129064403e-11	2.640082018171248e-10	6.652167702071134e-09
956.125	3.604528414564903e-12	1.0177066607164087e-10	2.3716370463950122e-09
960.844	6.641636161303542e-12	1.969206077323792e-11	8.720558878985729e-10
965.719	2.306508312784157e-12	2.7108591342559228e-12	3.408973820595379e-10
970.687	2.424328596329301e-12	-9.32840489412371e-12	1.5961740096612319e-10
975.797	1.6829717824513949e-12	-1.0546144157642626e-11	9.315345805699545e-11
981.062	3.918042772632702e-12	-1.8595655777730342e-11	7.771152247490293e-11
986.391	2.3597393157969862e-12	-1.3677484025350538e-11	6.385801755608391e-11
991.734	2.2255203375314536e-12	-1.3504140911334859e-11	5.8187432683905524e-11
997.156	2.4801374792815447e-12	-1.4692156780958303e-11	5.703024665191647e-11
1002.56	2.2912634190009227e-12	-1.455264051045168e-11	5.5355664190265623e-11
1007.97	2.4273809425070974e-12	-1.495273146372292e-11	5.3056734723215904e-11
1013.37	2.129082395949018e-12	-1.3768807101538909e-11	5.088638478317636e-11
1018.78	2.195327393241387e-12	-1.3793360126900215e-11	4.9057943788590154e-11
1024.2	2.1010930716499077e-12	-1.4238950340211205e-11	4.909198416440473e-11
1029.61	2.164119562640134e-12	-1.4295246342040077e-11	4.868030376846155e-11
1035.02	2.2291722207310985e-12	-1.4574177162832367e-11	4.7952846461597796e-11
1040.42	1.9742324188091423e-12	-1.4044412662051746e-11	4.716360976227099e-11
1045.83	2.2091155202271687e-12	-1.500461724604615e-11	4.7902533246377386e-11
1051.23	2.1821428850000597e-12	-1.4938109076087733e-11	4.698229407963117e-11
1056.66	2.0095320402637096e-12	-1.3266688225743744e-11	4.410913267220397e-11
1062.06	2.393703873816421e-12	-1.459840961280951e-11	4.5458811269355866e-11
1067.47	2.118242429171559e-12	-1.3974192254553575e-11	4.474555516099376e-11
1072.87	2.1769971933703337e-12	-1.3520305618057405e-11	4.404531128137517e-11
1078.28	2.1038892557199303e-12	-1.4940654283715084e-11	4.5734545316132255e-11
1083.7	2.41672992547186e-12	-1.4324215430949705e-11	4.4106725090149245e-11
1089.11	1.5152477801029553e-12	-1.0948721624025705e-11	4.0437813189846225e-11
