Time	ethyne Concentration Relative to CO	ethene Concentration Relative to CO	ethane Concentration Relative to CO
775.078	3.5844964991523995e-12	-1.8881004019156923e-11	1.2196650412098206e-10
780.25	1.466397908290897e-12	-1.7335853048908633e-11	6.570069455878574e-11
785.375	1.823624230489372e-12	-9.038598745924273e-12	3.431305301260237e-11
790.609	1.5922502748395681e-12	-1.0873005670870399e-11	2.715202490778105e-11
796.031	1.0495132635987203e-12	-7.321197416797636e-12	1.7458817935022665e-11
801.437	3.053080574563675e-14	-1.1997169991797001e-12	7.489631915776278e-12
806.844	7.562873182981066e-13	-5.335612397372536e-12	9.315775631161559e-12
812.25	1.3156580389762086e-12	-9.803994146308281e-12	1.498145120133735e-11
817.656	1.52198375170588e-13	-1.0972275286203716e-12	1.1501552918913467e-12
823.062	-7.961518615650834e-14	2.8247524281536914e-12	-5.275907985171252e-12
828.484	-1.59720342126734e-14	-6.969383871871061e-13	-3.639573053271187e-13
833.891	-2.667669088842494e-13	1.1800900694742232e-12	-3.3601753274746607e-12
839.297	-7.920256296518535e-13	6.65362087563757e-12	-1.2814986538072506e-11
844.703	-1.6517201771197459e-12	1.1461489108428408e-11	-1.9944953065023056e-11
850.109	-6.780440418677199e-13	4.680699242520928e-12	-1.06402856073359e-11
855.531	-7.187373847355541e-13	6.161542496776981e-12	-1.3319926471325075e-11
860.937	-5.277393984740988e-13	5.199274642464173e-12	-1.22538536026859e-11
866.328	-5.120933205265602e-13	5.0042080701795135e-12	-1.1803203926786756e-11
871.734	-1.1636033840786238e-12	9.192364354021315e-12	-1.8437623472308702e-11
877.156	-9.706814683288862e-13	8.453558885447907e-12	-1.755041422787559e-11
882.562	-1.2937974035722252e-12	1.3682427774071713e-11	-2.6811214181229513e-11
887.969	-9.098678309807327e-13	7.758970159747656e-12	-1.6402980311983884e-11
893.375	-1.5263281576710936e-12	1.1793879269596698e-11	-2.291463381615005e-11
898.781	-1.933390403306782e-12	1.648209509633531e-11	-2.995452729999271e-11
904.187	-1.128870869975053e-12	8.719735754900946e-12	-1.8073207133539533e-11
909.594	-1.84120506085884e-12	1.6558030193509446e-11	-3.121214891564603e-11
915.0	-2.1394303713423673e-10	-2.6426435572654745e-09	1.5160418728771487e-08
920.406	1.2815549987353371e-10	-4.6908645310659874e-09	1.3086274465010734e-07
925.297	3.930906877646406e-10	-3.2239284088930795e-09	1.7109095939427202e-07
929.594	9.10550539014259e-11	2.7462452409828046e-10	1.7952704001586377e-07
933.875	3.2637777880235657e-10	-1.9447385770557477e-09	1.884487761865405e-07
938.297	3.333831068746086e-10	2.2757851613483896e-09	1.311486987395402e-07
942.734	9.37006081460004e-12	2.002166258922106e-09	5.1763795677764666e-08
947.094	4.890988046951917e-11	6.128675240259381e-10	1.8787881285423006e-08
951.594	1.8463787104721223e-11	2.689142240333377e-10	6.677468729938815e-09
956.125	7.996698595825292e-13	1.2248195446094818e-10	2.333296502562945e-09
960.844	7.735846989140408e-12	3.706553541945267e-12	8.760569718951456e-10
965.719	2.8571084514462644e-12	-8.678302238109503e-12	3.3300888468893265e-10
970.687	2.4711813335526666e-12	-1.5972941589460503e-11	1.4280491541712484e-10
975.797	1.5303206701971618e-12	-1.5390960362458353e-11	7.301456335468089e-11
981.062	3.142068636521775e-12	-1.731218175591488e-11	4.805030551373006e-11
986.391	1.503566989420668e-12	-1.1799273905673268e-11	3.3219853826142154e-11
991.734	6.607490899229576e-13	-4.943024953184644e-12	1.729902627824629e-11
997.156	1.0046893687670532e-12	-6.945182532304619e-12	1.7415210906215404e-11
1002.56	3.02954603351323e-13	-1.978305800407014e-12	8.370144051814847e-12
1007.97	6.020932199727101e-13	-3.90037816168862e-12	8.421878143936038e-12
1013.37	2.581843602965747e-13	-2.313257720237418e-12	5.659690052641161e-12
1018.78	1.1492300764083347e-13	-3.474429025095131e-13	8.058029030369478e-13
1024.2	1.0417466415484643e-13	-1.5902131441575419e-12	2.1009633772652756e-12
1029.61	1.2938074044647092e-14	-1.7849789426952187e-13	-5.230516708186694e-13
1035.02	-2.6296681715570925e-13	2.774011000243681e-12	-6.168642146830145e-12
1040.42	-6.88758433966478e-13	4.893462598883504e-12	-9.357821693268117e-12
1045.83	1.0788271949578214e-13	-1.3458409988837747e-12	-4.859968368747459e-13
1051.23	-5.322358476158435e-13	4.513883208278375e-12	-1.0250153471648633e-11
1056.66	-7.03103625599088e-13	6.156871304261757e-12	-1.30579867268882e-11
1062.06	-3.196734895721991e-13	4.876393411429161e-12	-1.1738949901112632e-11
1067.47	-7.883015495152732e-13	7.299006448821411e-12	-1.5170806413220758e-11
1072.87	-9.01359698568818e-13	9.387531083764809e-12	-1.8339365006037103e-11
