# molecules 	Acetylene	Ethylene	Ethane	ethanol
ScaledConcentrations_Means	2.746156574149141e-11	-1.2341625054450766e-09	1.6682364605959824e-08	-5.897790866199642e-10
ScaledConcentrations_StdDevs	8.7395293236469e-11	3.2622454314630895e-09	4.7478373576677924e-08	4.1662861259073805e-10
ScaledConcentrations_StdErrs	1.0677034414055777e-11	3.9854671171574083e-10	5.800406518803826e-09	5.0899286103148816e-11
ScaledConcentrations_absolute_uncertainties_Means	1.0938892255432988e-09	3.953315339432825e-09	6.439087726173978e-09	4.9895569555042415e-09
ScaledConcentrations_absolute_uncertainties_StdDevs	2.635208027402302e-09	9.535672676058207e-09	1.5610737650469246e-08	1.2088746509976439e-08
ScaledConcentrations_relative_uncertainties_Means	39.833461640191636	-3.203237273852473	0.3859817165171893	-8.460043885413931
ScaledConcentrations_relative_uncertainties_StdDevs	95.95986085457582	-7.7264320006378355	0.9357628860894375	-20.497075573257924
ScaledConcentrations_absolute_uncertainties_Total	1.0939413315272428e-09	3.973353955339784e-09	8.666404475256523e-09	4.989816564719245e-09
