Mass	Acetylene	Ethylene	Ethane	ethanol
1.0	0.0	0.0	0.0	0.0
2.0	0.0	0.0	0.0	0.0
12.0	2.1545893719806766	1.4672131147540983	0.50873786407767	0.26893772525843346
13.0	6.618357487922706	2.4918032786885242	1.0679611650485437	1.9541574531123302
14.0	0.33623188405797105	5.254098360655737	3.815533980582525	2.1144419033727204
15.0	0.022318840579710147	0.5229508196721311	5.6213592233009715	9.971885591162492
16.0	0.04830917874396136	0.1122950819672131	0.12330097087378641	0.0
17.0	0.3521739130434783	0.1762295081967213	0.04349514563106797	1.0937217497430733
18.0	0.0	0.0	0.0	0.8687662956893645
19.0	0.0	0.0	0.0	4.430178511719927
20.0	0.0	0.0	0.0	0.0
21.0	-8.454106280193239e-05	-0.00033934426229508197	0.0026019417475728157	0.0
22.0	0.0022270531400966184	0.0005475409836065573	0.0023398058252427187	0.0
24.0	6.280193236714977	3.2459016393442623	0.741747572815534	0.9132897966516558
25.0	22.07729468599034	10.0	3.718446601941748	3.5734486005384922
26.0	100.0	60.81967213114754	22.621359223300974	13.782449539884789
27.0	2.077294685990338	61.967213114754095	32.33009708737865	29.962900754982954
28.0	1.0096618357487923	100.0	100.0	4.367764998531442
29.0	0.014009661835748794	2.0327868852459017	21.2621359223301	35.40783570702367
30.0	0.0033381642512077298	0.01819672131147541	20.97087378640777	8.912126632417
31.0	0.0	0.0	0.0	100.0
32.0	0.0	0.0	0.0	0.0
33.0	0.0	0.0	0.0	0.24141441749531953
34.0	0.0	0.0	0.0	0.0
36.0	0.0	0.0	0.0	0.0
37.0	0.0	0.0	0.0	0.0
38.0	0.0	0.0	0.0	0.0
39.0	0.0	0.0	0.0	-0.0
40.0	0.0	0.0	0.0	-0.0
41.0	0.0	0.0	0.0	-0.0
42.0	0.0	0.0	0.0	-0.0
43.0	0.0	0.0	0.0	-0.0
44.0	0.0	0.0	0.0	-0.0
45.0	0.0	0.0	0.0	-0.0
46.0	0.0	0.0	0.0	-0.0
47.0	0.0	0.0	0.0	-0.0
48.0	0.0	0.0	0.0	-0.0
49.0	0.0	0.0	0.0	-0.0
50.0	0.0	0.0	0.0	-0.0
51.0	0.0	0.0	0.0	-0.0
52.0	0.0	0.0	0.0	-0.0
53.0	0.0	0.0	0.0	-0.0
54.0	0.0	0.0	0.0	-0.0
55.0	0.0	0.0	0.0	-0.0
56.0	0.0	0.0	0.0	-0.0
57.0	0.0	0.0	0.0	-0.0
58.0	0.0	0.0	0.0	-0.0
59.0	0.0	0.0	0.0	-0.0
60.0	0.0	0.0	0.0	-0.0
61.0	0.0	0.0	0.0	-0.0
62.0	0.0	0.0	0.0	-0.0
63.0	0.0	0.0	0.0	-0.0
64.0	0.0	0.0	0.0	-0.0
65.0	0.0	0.0	0.0	-0.0
66.0	0.0	0.0	0.0	-0.0
67.0	0.0	0.0	0.0	-0.0
68.0	0.0	0.0	0.0	-0.0
69.0	0.0	0.0	0.0	-0.0
70.0	0.0	0.0	0.0	-0.0
71.0	0.0	0.0	0.0	-0.0
72.0	0.0	0.0	0.0	-0.0
73.0	0.0	0.0	0.0	-0.0
74.0	0.0	0.0	0.0	-0.0
75.0	0.0	0.0	0.0	-0.0
84.0	0.0	0.0	0.0	-0.0
85.0	0.0	0.0	0.0	-0.0
86.0	0.0	0.0	0.0	-0.0
87.0	0.0	0.0	0.0	-0.0
88.0	0.0	0.0	0.0	-0.0
89.0	0.0	0.0	0.0	-0.0
90.0	0.0	0.0	0.0	-0.0
