Time	Acetylene Concentration Relative to CO	Ethylene Concentration Relative to CO	Ethane Concentration Relative to CO	ethanol Concentration Relative to CO
747.187	6.86495343748145e-10	2.2235466712745303e-09	3.423217292645006e-09	2.6124397896708556e-09
751.547	2.0958643225838546e-09	7.531553149993806e-09	1.24249182029207e-08	9.595395358526734e-09
756.016	2.2856978860546553e-09	8.191065210004961e-09	1.337146911802964e-08	1.0331945886741466e-08
760.625	8.267612054751655e-10	2.94580918826803e-09	4.711971225883785e-09	3.6472875545652964e-09
765.266	3.004460249263291e-10	1.0693543095358607e-09	1.7089759068709406e-09	1.3246392304022312e-09
770.078	1.0920272354975037e-10	3.884879133718069e-10	6.23063615239702e-10	4.83459064081146e-10
775.078	4.0978123195624375e-11	1.4599134349708195e-10	2.312308854739028e-10	1.7920352177522762e-10
780.25	1.9705532047187163e-11	6.694787337244503e-11	9.767339875470643e-11	7.630119908267273e-11
785.375	1.377907977728571e-11	4.6134988503872e-11	6.509421173604038e-11	5.092122744739566e-11
790.609	1.3152962437281766e-11	4.37345244285087e-11	6.015043808785758e-11	4.7104302719449785e-11
796.031	1.2985068820023353e-11	4.3136880650445895e-11	5.891584424680184e-11	4.6208539377247995e-11
801.437	1.2825705954856775e-11	4.264304604776948e-11	5.830978064723059e-11	4.5737979230495227e-11
806.844	1.2851094782039377e-11	4.2707480090159326e-11	5.840605097686984e-11	4.5806627758701134e-11
812.25	1.2905109487677765e-11	4.29059825503072e-11	5.874475720168848e-11	4.606792366337084e-11
817.656	1.2722741845843414e-11	4.230162326625815e-11	5.776277682139632e-11	4.5324577811366455e-11
823.062	1.2646075150901085e-11	4.205131599042204e-11	5.755186078837055e-11	4.5140911628362196e-11
828.484	1.268985910325261e-11	4.2190628969514026e-11	5.7573917073165425e-11	4.518026965590755e-11
833.891	1.2639394904992714e-11	4.20514082201791e-11	5.743441560754e-11	4.507358262001195e-11
839.297	1.2546472251338484e-11	4.170038190321645e-11	5.689242004011161e-11	4.4644730776216894e-11
844.703	1.2443070686111683e-11	4.139432639302816e-11	5.6672383661509896e-11	4.445343513015002e-11
850.109	1.2540754999116087e-11	4.1706582150337345e-11	5.691459871203579e-11	4.4666983742257646e-11
855.531	1.2510906894544877e-11	4.158975624212915e-11	5.6728883319659413e-11	4.451869825236769e-11
860.937	1.251976972977518e-11	4.1614148947866615e-11	5.674584498540559e-11	4.453314490070075e-11
866.328	1.2511728693311906e-11	4.159853228311295e-11	5.675522273834633e-11	4.453960228677523e-11
871.734	1.242695678443234e-11	4.131703468458918e-11	5.6350006997477295e-11	4.422473667744561e-11
877.156	1.242418564956452e-11	4.132149406034373e-11	5.637625051169168e-11	4.4245908412055355e-11
882.562	1.2313367945919461e-11	4.09797042035892e-11	5.6102403981513015e-11	4.401071383136247e-11
887.969	1.2430490739679413e-11	4.1350531440094764e-11	5.65203638710008e-11	4.434773160867006e-11
893.375	1.2335971879329865e-11	4.104335090952735e-11	5.6024397433955366e-11	4.397171281087046e-11
