# molecules 	Acetylene	Ethylene	Ethane	Ethanol
ScaledConcentrations_Means	3.579476656109539e-13	-1.5546173128609034e-10	1.4869388748351004e-08	-4.625885902182581e-10
ScaledConcentrations_StdDevs	3.72672541944678e-11	8.40287403591765e-10	4.205307486701265e-08	4.3463593671629006e-10
ScaledConcentrations_StdErrs	4.552919737623316e-12	1.0265744519640833e-10	5.13760078997704e-09	5.3099230885911397e-11
ScaledConcentrations_absolute_uncertainties_Means	1.2115674581014288e-09	4.490163066533687e-09	6.451436934340993e-09	3.2969858609216264e-09
ScaledConcentrations_absolute_uncertainties_StdDevs	2.9579707205808266e-09	1.096577498691469e-08	1.5873515921823033e-08	8.085532538581734e-09
ScaledConcentrations_relative_uncertainties_Means	3384.7614455970697	-28.882754806522833	0.43387371488666265	-7.127252877910468
ScaledConcentrations_relative_uncertainties_StdDevs	8263.696078397632	-70.53681247595776	1.067529821868662	-17.478884498138672
ScaledConcentrations_absolute_uncertainties_Total	1.2115760127241273e-09	4.491336428627614e-09	8.24718014808406e-09	3.297413425010245e-09
