Time	Acetylene relative uncertainty	Ethylene relative uncertainty	Ethane relative uncertainty	Ethanol relative uncertainty
747.187	8.284227576082762	0.5729471618423668	0.023285039899434094	0.6547571237036978
751.547	145.34552910530937	14.490993959548856	0.7866006434387378	20.59791463856746
756.016	197.45563521826674	3088.2411382207547	2.174834561906289	21.104831430700244
760.625	36.305431050043346	20.86433127299879	1.751017005520485	7.085170777211073
765.266	10.745712988458097	5.533217887133239	1.1801983753002723	2.5488323314842987
770.078	3.6179872983857333	1.9076502130229205	0.6201300570046476	0.9291789767664178
775.078	1.4073252711477027	0.6775362864117254	0.26809747335582385	0.34434334696897906
780.25	0.6212844664570862	0.3260562036741315	0.11274043150851411	0.14809376077549566
785.375	0.45449844478444656	0.23682428078082485	0.06844908661336849	0.10229026248694605
790.609	0.42926563073487695	0.22668268116348658	0.0617228728791248	0.09571872264250503
796.031	0.42419450641215434	0.22659699451871074	0.061116703830204434	0.09490484575600039
801.437	0.4166695866362817	0.2273845522856506	0.06127738715087918	0.09487980513369836
806.844	0.4233653640433637	0.22530622039007075	0.06143106209191741	0.09490452111279622
812.25	0.4241353964196668	0.22543302679099825	0.06172475055681554	0.09502550800651156
817.656	0.4188609925463083	0.22648278304272124	0.06159819277459438	0.09479068227125527
823.062	0.4221839876662137	0.22609137942906196	0.06181008307092133	0.09497865494965009
828.484	0.4171657890778227	0.2263758841309942	0.06160368255983872	0.09473661001858127
833.891	0.415121505538784	0.22727568797031047	0.06186848606643835	0.09484580527959663
839.297	0.4195310349194527	0.22504165721992184	0.06148149564638883	0.09474124858282518
844.703	0.41267864350614697	0.22650453794866268	0.06205385193848085	0.09503471413537114
850.109	0.4158703899034972	0.2263280071425266	0.06181096037771359	0.09477127427053354
855.531	0.41877126015879934	0.22546832596815283	0.06165442458331152	0.09471757525526857
860.937	0.4205543262482609	0.22509221760485928	0.06161387856923343	0.09469874909664606
866.328	0.41941366439232586	0.2257410948657582	0.06176303619734446	0.09474520467399135
871.734	0.416448496301292	0.22583668942308796	0.06174888259915045	0.09471506719830089
877.156	0.417082509830086	0.22636743273456705	0.06190816093006658	0.09475708846286314
882.562	0.4208827384677039	0.2261913087170543	0.06239734601980832	0.09509079979204459
887.969	0.4177976211970125	0.2259816149374937	0.06206422545036195	0.0949333810514399
893.375	0.41345744349033564	0.22696352331391403	0.06208765687443878	0.09481520906801758
898.781	0.41541950417006307	0.22667947927744267	0.06238030517862101	0.0950946417231143
904.187	0.41574935526591744	0.22633574022447359	0.06246200599254856	0.09517540267041752
909.594	52.38066327343998	28.842061513258724	14.199547101995117	16.559000163467854
915.0	129.14121348530932	16.359007823685946	5.0570007486267	682.327689639303
920.406	15.171179870868892	11.491777284325599	0.3116395339908853	9.549018255793346
925.297	27.554178196692934	55.23232509773859	0.2730983841916054	9.852037866148832
929.594	19.028740659650342	10.903256803174884	0.09195528312815707	7.699433037622014
933.875	98.09299285990822	66.27023053381275	0.25814001279551235	16.5493343443192
938.297	59.14963699894227	7.780110399880415	0.3487200265070908	13.504611301075675
942.734	37.786537564495994	8.24656396883788	0.5285011953066219	21.008143149777663
947.094	247.55067392242682	43.501309652797254	1.9014415250351047	40.31672561746383
951.594	251.82311809864072	323.19400019566234	2.1542261791092576	25.207638995308937
956.125	39.31760943949406	34.04120866043783	1.9250511687129779	9.420759486238767
960.844	14.845413846483758	7.102990645189027	1.3586195329272646	3.246117493452311
965.719	4.510347611155586	2.3246690150747837	0.7148578608179915	1.131392894592016
970.687	1.645490054875848	0.805091678479563	0.31314171012815256	0.412178587483901
975.797	0.6953853626479263	0.3556529301763857	0.1317734258088439	0.17097994916291925
981.062	0.4900875136196321	0.24188767580452786	0.07314556534363835	0.10697402076926833
986.391	0.42664707675153124	0.22860584514712354	0.061528115858796605	0.09573651838444604
991.734	0.42191449305422885	0.2270840131641358	0.06144054142770453	0.09533247956854429
997.156	0.424400638010874	0.22571792728790946	0.06104994628974221	0.09489057355947081
1002.56	0.4217626165919104	0.22562700296399393	0.061067476841020304	0.0948178850733092
1007.97	0.42334946061199324	0.2252517445015649	0.06123170535487043	0.09478123787582345
1013.37	0.4191027424899327	0.22623514739660433	0.061361358393522754	0.09474520935800806
1018.78	0.41994071955223455	0.22614655621273194	0.061524400877022066	0.09476030585829866
1024.2	0.41860283260095377	0.22572021638566653	0.061483931834409804	0.09472510654743786
1029.61	0.4194949680123461	0.22563522283133736	0.0615381328416461	0.09474615492325023
1035.02	0.42047952264122784	0.22529201295016002	0.061537607630392975	0.0947123338904166
1040.42	0.4170793560888206	0.22579066269381684	0.0618514875685528	0.09490711949452772
1045.83	0.4200800162793359	0.22504422388472203	0.06191121262596666	0.09497287840774442
1051.23	0.4198968258006315	0.22490760632247228	0.06170099013313924	0.09478795709176506
1056.66	0.4173618262583565	0.22638706878164716	0.06189368636959389	0.09475111852590666
1062.06	0.4227439608310705	0.2251526719367423	0.06170788386311314	0.09469209334572333
1067.47	0.4189559878552342	0.22565544591434178	0.061739764299976824	0.0946787425198255
1072.87	0.4198817055209152	0.22606615026928714	0.061867694316147026	0.09474081324701324
1078.28	0.4189018147416341	0.22481382001139957	0.06179488474705394	0.09478725358136085
1083.7	0.42341905609780917	0.2253483992391416	0.061904438924498956	0.09478230019962276
1089.11	0.4106198063638271	0.22846087827045086	0.062202446301366586	0.09474493742167475
