Acetylene,Ethylene,Ethane,Ethanol
0.016447517541563376,0.00662760309568452,0.0,0.0
0.05052264356937629,0.01125581754797818,0.0,0.011234977085447446
0.0,0.02373348371136189,0.021569738253615627,0.01171994012510705
0.0,0.0,0.031778316663723785,0.053669243055662626
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.047941194627875314,0.014662183384866318,0.0,0.0
0.16853173803799243,0.04517137305438612,0.021020889951996906,0.0
0.7633713298438606,0.2747308098881517,0.12788165427716136,0.07961476567745134
0.01585747206922029,0.2799144100747205,0.18276648443903318,0.1811336953128614
0.0,0.4517137305438612,0.5653137506672796,0.027885374780427116
0.0,0.009182377473350623,0.12019777805449929,0.241269112230652
0.0,0.0,0.11855123314964314,0.06563166470059949
