Time	Acetylene Concentration Relative to CO	Ethylene Concentration Relative to CO	Ethane Concentration Relative to CO	Ethanol Concentration Relative to CO
747.187	4.063612110256355e-11	1.531671780593147e-09	4.268957129050723e-08	-8.921821847921196e-10
751.547	1.4502980458756595e-11	5.846837108128894e-10	1.552283639582614e-08	-3.3646756381898796e-10
756.016	2.2383868095774585e-11	-6.51879689764283e-12	6.089374115154485e-09	-3.393280622349154e-10
760.625	1.2896220935416822e-11	-1.7100587329620986e-10	2.683587260890913e-09	-3.52266333265366e-10
765.266	7.86224438737437e-12	-2.2999600679134572e-10	1.4571648319927591e-09	-3.5369660096144064e-10
770.078	5.4933679143066025e-12	-2.414079733351329e-10	1.0169515304149228e-09	-3.532098013743591e-10
775.078	7.131673199451337e-12	-2.572986788438759e-10	8.651189805698442e-10	-3.5281252887171494e-10
780.25	5.02685130342786e-12	-2.5556340096163137e-10	8.088888969539489e-10	-3.5267659297171446e-10
785.375	6.66491589959061e-12	-2.556052920303973e-10	7.838318399612175e-10	-3.4607737593975834e-10
790.609	6.408118832549836e-12	-2.571457299915829e-10	7.76216130643858e-10	-3.4603785069344196e-10
796.031	6.125647018701025e-12	-2.5515488449497076e-10	7.674776501119975e-10	-3.4457862847719504e-10
801.437	5.589867653634832e-12	-2.5202111557947474e-10	7.595410514526534e-10	-3.4202883638246984e-10
806.844	6.124481032098895e-12	-2.5484929826697595e-10	7.600682495034409e-10	-3.4276410908960964e-10
812.25	6.228766357333922e-12	-2.562664463747705e-10	7.630713565923355e-10	-3.4482800365895426e-10
817.656	5.788700515679795e-12	-2.521149187358302e-10	7.524936861106042e-10	-3.4108408639298686e-10
823.062	5.989520801488385e-12	-2.5091034792823e-10	7.478780624255275e-10	-3.387475797335922e-10
828.484	5.6619019817981215e-12	-2.5175900285567936e-10	7.504123731733918e-10	-3.4051666590860327e-10
833.891	5.500426966925836e-12	-2.503440366615633e-10	7.474823132251319e-10	-3.3989829441354734e-10
839.297	5.752975482544106e-12	-2.498277164662063e-10	7.415632717582541e-10	-3.358500572539287e-10
844.703	5.2164124882863254e-12	-2.4696929318075256e-10	7.356547155254603e-10	-3.34092898182937e-10
850.109	5.522567036737951e-12	-2.493366207183868e-10	7.412373768713463e-10	-3.371985000041777e-10
855.531	5.715262673940398e-12	-2.492778242300216e-10	7.393548705028051e-10	-3.358484175667274e-10
860.937	5.848338896782375e-12	-2.497678772078564e-10	7.397511771389517e-10	-3.3594430769312913e-10
866.328	5.771658919102738e-12	-2.492528594481328e-10	7.393533318794099e-10	-3.3622162860938823e-10
871.734	5.5190601557300346e-12	-2.475264476014731e-10	7.343300945726535e-10	-3.3407494106669557e-10
877.156	5.579159519947152e-12	-2.473029251951738e-10	7.341746675761631e-10	-3.345448333228255e-10
882.562	5.801849007618357e-12	-2.4552830846195453e-10	7.273069239319076e-10	-3.3164685637456194e-10
887.969	5.617324656238029e-12	-2.476394344150119e-10	7.344308176954388e-10	-3.3428661013412784e-10
893.375	5.282966779209992e-12	-2.4530383484132183e-10	7.289495421684415e-10	-3.3272241992822786e-10
