# molecules 	ethyne	ethene	ethane	ethanol
ScaledConcentrations_Means	-4.256236604031098e-11	-1.278110691447617e-10	1.4094986669724133e-08	-3.831438018442667e-10
ScaledConcentrations_StdDevs	6.065374720285081e-11	7.446235052214119e-10	3.9937628062593356e-08	3.5366944525674067e-10
ScaledConcentrations_StdErrs	7.410034593900085e-12	9.097023988754423e-11	4.879157829315813e-09	4.320759961281871e-11
ScaledConcentrations_absolute_uncertainties_Means	1.0083242554401959e-09	3.861364257634069e-09	5.8309670373149194e-09	2.7474880363563823e-09
ScaledConcentrations_absolute_uncertainties_StdDevs	2.4603890112884363e-09	9.430249526451573e-09	1.435301685611549e-08	6.742224791575724e-09
ScaledConcentrations_relative_uncertainties_Means	-23.69051228226382	-30.211501112322285	0.41369085150252527	-7.170905605496735
ScaledConcentrations_relative_uncertainties_StdDevs	-57.80667853281916	-73.78272937980559	1.0183065222009469	-17.597113039861153
ScaledConcentrations_absolute_uncertainties_Total	1.008351482728968e-09	3.8624356971578314e-09	7.603049237879951e-09	2.7478277614482592e-09
