Time	ethyne Concentration Relative to CO	ethene Concentration Relative to CO	ethane Concentration Relative to CO	ethanol Concentration Relative to CO
747.187	-3.4567254449562344e-11	1.3726088527093008e-09	4.054199467101377e-08	-6.994293742160333e-10
751.547	-1.37114359064028e-11	5.238107970589341e-10	1.4741884994280968e-08	-2.6364825995278517e-10
756.016	-1.1042643399728492e-11	2.6857314400146155e-12	5.76284342411331e-09	-2.78216478928626e-10
760.625	-2.1668216250381702e-11	-1.428794506683781e-10	2.5223237660450118e-09	-2.9254539711693856e-10
765.266	-2.66231301170763e-11	-1.9526322501576262e-10	1.3557203154058791e-09	-2.950907241838111e-10
770.078	-2.8739271788228437e-11	-2.055106611366014e-10	9.373231000572582e-10	-2.949924596847714e-10
775.078	-2.7370395354668897e-11	-2.1942710467492731e-10	7.925823959991838e-10	-2.949575048085651e-10
780.25	-2.9197083803866556e-11	-2.180464227109146e-10	7.393301329031875e-10	-2.948642069992141e-10
785.375	-2.7160386514382726e-11	-2.1810176147756358e-10	7.158452232586127e-10	-2.8940304223935204e-10
790.609	-2.739303695330981e-11	-2.1948005027121238e-10	7.085874029715705e-10	-2.8940964236893106e-10
796.031	-2.7495996838910545e-11	-2.1777250483418465e-10	7.004444147812389e-10	-2.881768192824788e-10
801.437	-2.771534451593113e-11	-2.1509619771896076e-10	6.931766574191146e-10	-2.860309770418526e-10
806.844	-2.7330894550280316e-11	-2.1753961730754716e-10	6.935276414940294e-10	-2.866803118012861e-10
812.25	-2.743539788898584e-11	-2.1874116573365438e-10	6.962075394084422e-10	-2.884022856084557e-10
817.656	-2.7455730826447138e-11	-2.1518411656109499e-10	6.865266426442577e-10	-2.852519257692401e-10
823.062	-2.705974544516744e-11	-2.1415423669416353e-10	6.823087110543926e-10	-2.8330260146502387e-10
828.484	-2.7513509742850115e-11	-2.1489041318190239e-10	6.846016405727445e-10	-2.8478177162259614e-10
833.891	-2.759000313424013e-11	-2.1366556497370004e-10	6.81902368307275e-10	-2.842484221570386e-10
839.297	-2.6998427957690614e-11	-2.1327406211188996e-10	6.765344827774673e-10	-2.8090651107110194e-10
844.703	-2.729199411198287e-11	-2.1082476664775818e-10	6.711362716483628e-10	-2.794174001597057e-10
850.109	-2.7319615654753395e-11	-2.1282958424197796e-10	6.761648883214555e-10	-2.820095549615804e-10
855.531	-2.7027717357303296e-11	-2.1279146566179183e-10	6.744524113971951e-10	-2.808945902784042e-10
860.937	-2.6922693438474425e-11	-2.132126437496086e-10	6.7480263150215e-10	-2.809801707295379e-10
866.328	-2.701170401900505e-11	-2.1275791932160507e-10	6.744245167770311e-10	-2.811990848598378e-10
871.734	-2.7028030367587622e-11	-2.1129554560270312e-10	6.698469557415446e-10	-2.79406482291726e-10
877.156	-2.701615822645639e-11	-2.1108455560652164e-10	6.696715122872325e-10	-2.797861040464405e-10
882.562	-2.6546319792472685e-11	-2.095614317791271e-10	6.633626556461532e-10	-2.7736314116962914e-10
887.969	-2.6961531257937745e-11	-2.113840669545641e-10	6.699205634577014e-10	-2.7958012469522625e-10
893.375	-2.7098289069603704e-11	-2.0937804650352495e-10	6.648909465791048e-10	-2.7825520583419554e-10
898.781	-2.676363955188742e-11	-2.080712868168576e-10	6.604427825001032e-10	-2.7602725650671683e-10
904.187	-2.702427279836725e-11	-2.1059171259833174e-10	6.67580920637853e-10	-2.788900534935642e-10
909.594	-2.6551677620788248e-11	-2.0825440479094458e-10	6.589142692992621e-10	-2.7541679982900474e-10
915.0	-1.0352560161664652e-10	-3.12688404447125e-09	1.5374013050872107e-08	5.339467957204974e-11
920.406	-4.274755639828111e-10	-2.1674865698494582e-09	1.2197811586476392e-07	-1.867799798633947e-09
925.297	-2.6526366007363954e-10	-5.087310123426785e-10	1.5959292380449183e-07	-2.0732076302477783e-09
929.594	-1.6238450293054023e-10	1.0104559568099658e-09	1.6891859822162331e-07	-9.453671635576531e-10
933.875	-7.810285826658081e-11	-4.5402330218407804e-10	1.7685947081087223e-07	-1.3134626584597814e-09
938.297	-1.269644579248464e-10	3.6381872932415615e-09	1.2269712819654398e-07	-1.4838197460633836e-09
942.734	-1.1611816527985115e-10	2.0500218271986453e-09	4.905492286497807e-08	-5.828688735163786e-10
947.094	-2.4272412174375015e-11	5.277643508323419e-10	1.8217812886141393e-08	-4.034817762261458e-10
951.594	-1.0456004107137044e-11	3.106822157431878e-11	6.96621234607312e-09	-2.790195561477958e-10
956.125	-2.468957894624449e-11	-1.0822804795441584e-10	2.880089744399288e-09	-2.7584706928198615e-10
960.844	-2.4121664609523432e-11	-1.9119402657216072e-10	1.4867991049960977e-09	-2.925612521768212e-10
965.719	-2.7833424920591267e-11	-2.049914344307742e-10	9.77230079010982e-10	-2.9093691972796574e-10
970.687	-2.7593894606114866e-11	-2.1409753200812032e-10	7.999161857505339e-10	-2.8906889869593806e-10
975.797	-2.816239787568515e-11	-2.1458804759000818e-10	7.347736271955852e-10	-2.8822153792579415e-10
981.062	-2.5976468732682763e-11	-2.1962331912569045e-10	7.137488757210937e-10	-2.856521443529091e-10
986.391	-2.727261982495553e-11	-2.1510958615117532e-10	6.99910911724188e-10	-2.851925246030289e-10
991.734	-2.7089407685904756e-11	-2.1288186028689424e-10	6.879738197651034e-10	-2.8226960006699426e-10
997.156	-2.689350153969264e-11	-2.1405083080014954e-10	6.872650675863214e-10	-2.824820836799835e-10
1002.56	-2.6837571314837538e-11	-2.1240550562994997e-10	6.808545974749767e-10	-2.803307769745328e-10
1007.97	-2.6770767430587758e-11	-2.1309752113916836e-10	6.797492452915781e-10	-2.808243671120172e-10
1013.37	-2.6992883254838487e-11	-2.118503087041745e-10	6.770313766126656e-10	-2.804940140340821e-10
